GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PREDBID,G20PRERTRU,G20PRELJOR,G20USSDKEL,G20USSRMCS
04019000049,04,019,000049,579,701,26,584,712
04019000050,04,019,000050,1354,282,19,1389,256
04019000051,04,019,000051,1051,255,20,1111,212
04019000052,04,019,000052,1124,240,21,1142,214
04019000053,04,019,000053,2949,793,47,3037,736
04019000054,04,019,000054,2751.5,1358.9,84.2,2834.8,1283.6
04019000055,04,019,000055,790,347,31,791,364
04019000056,04,019,000056,1577,686,15,1561,716
04019000057,04,019,000057,2332,687,54,2337,695
04019000058,04,019,000058,2034,570,58,2052,587
04019000059,04,019,000059,1116,390,22,1130,377
04019000060,04,019,000060,620.6,676.7,15.8,649.2,650
04019000061,04,019,000061,1112.6,680.1,18.3,1070.2,730.2
04019000062,04,019,000062,1442,355,32,1433,337
04019000063,04,019,000063,1040,219,16,1051,225
04019000064,04,019,000064,1323.5,274.9,29,1362.5,251.9
04019000065,04,019,000065,9.9,9.9,0,9.9,9.9
04019000066,04,019,000066,1555,363,29,1590,348
04019000067,04,019,000067,1723,632,36,1730,620
04019000068,04,019,000068,1669,512,32,1686,518
04019000069,04,019,000069,2345,1531,58,2375,1513
04019000070,04,019,000070,786,1072.6,23.6,809.6,1040
04019000071,04,019,000071,123.5,15.9,0,120.5,13.9
04019000072,04,019,000072,2275,782,67,2320,760
04019000073,04,019,000073,2118,377,29,2131,379
