GEOID20,STATEFP,COUNTYFP,DISTRICT,G18USSRMCS,G18USSDSIN,G18USSGGRE,G18USSOWRI,G18GOVRDUC,G18GOVDGAR,G18GOVGTOR,G18GOVOWRI,G18SOSRGAY,G18SOSDHOB,G18SOSOWRI,G18ATGRBRN,G18ATGDCON,G18ATGOWRI,G18TRERYEE,G18TREDMAN,G18TREOWRI,G18SPIRRIG,G18SPIDHOF,G18SPIOWRI,G18MNIRHAR,G18MNIDPIE,G18MNIOWRI
04013000516,04,013,000516,825.46,680.46,66.1,1,968.73,559.22,44.06,4,864.53,672.43,3.01,887.6,646.36,3.01,921.64,603.27,4,808.47,700.44,5,865.54,633.32,6
04013000517,04,013,000517,1592.94,1209.9,64.17,4.02,1850.39,958.53,42.12,3.01,1656.07,1163.91,3.01,1714.16,1079.78,7.02,1757.2,1004.69,1.01,1584,1175.92,6.01,1652.1,1042.75,5.01
04013000518,04,013,000518,1803.03,1418.71,63.92,3.95,1998.98,1232.34,48.42,4.89,1813.81,1396.92,3.9,1870.99,1340.81,6.85,1941.59,1244.29,1.96,1712.36,1468.68,2.95,1799.09,1303.25,8.8
04013000519,04,013,000519,938,1672,62,2,1170,1411,60,4,994,1607,1,1040,1544,1,1116,1425,2,921,1605,2,988,1480,4
04013000520,04,013,000520,907.4,1196.31,70.42,7.02,1092.53,1011.25,67.34,8.03,954.57,1166.25,8.02,995.7,1106.07,12.02,1046.03,1047.61,8.01,913.31,1175.37,10.01,970.54,1066.88,9
04013000521,04,013,000521,3104.9,2217.51,88.74,5.85,3546.65,1766.01,81.91,5.85,3140.01,2124.87,4.88,3289.21,1987.37,3.9,3408.18,1794.29,4.88,3002.51,2180.45,2.93,3158.54,1849.87,8.78
04013000522,04,013,000522,1715.52,1848.56,59.73,5.02,2035.44,1499.56,73.48,6.07,1727.12,1794.52,2.07,1834.27,1695.74,2.07,1942.86,1506.66,3.02,1638.96,1817.93,4.05,1785.95,1553.83,3.1
04013000523,04,013,000523,1592.08,635.54,46.98,2,1688.82,538.27,40.87,3.82,1597.82,629.74,2.98,1634.52,595.65,1.04,1655.28,531.12,0.12,1544.44,653.41,4.75,1577.95,567.59,1.97
04013000524,04,013,000524,748.66,508.72,44.38,1.19,866.59,392.83,33.28,3.09,784.04,480.17,2.1,792.56,468.07,5.1,793.96,449.35,3.1,749.39,496.89,2.48,754.5,461.27,3
04013000525,04,013,000525,700,1764,45,4,898,1550,45,5,713,1745,3,793,1664,5,918,1502,2,711,1715,4,788,1572,1
04013000526,04,013,000526,1090,1429,96,9,1315,1213,81,16,1156,1410,6,1177,1382,6,1215,1316,4,1123,1388,8,1136,1355,7
04013000527,04,013,000527,1206.31,720.57,23.89,4.39,1338.96,592.3,17.78,1.75,1213.56,698.22,2.63,1239.33,674.79,5.29,1272.3,624.18,1.77,1169.8,695.98,3.5,1212.51,621.29,3.54
04013000528,04,013,000528,211.43,606.5,33.75,0.99,305.73,503.27,31.76,1.99,232.28,594.59,0.99,269.01,548.93,0.99,264.04,541.98,2.98,226.32,584.67,1.99,244.19,558.86,1.99
04013000529,04,013,000529,1351.38,974.04,34.13,2.61,1529.28,773.93,44.28,0.88,1348.11,942.35,0.89,1435.49,851.41,1.78,1454.72,810.53,0.02,1276.44,978.48,3.48,1349,830.76,0.89
04013000530,04,013,000530,483.32,901.77,26.86,2.04,610.75,750.92,42.53,1.09,499.78,880.72,0.04,544,824.93,2.31,600.26,749.89,0.22,475.72,860.08,1.36,510.09,797.38,4.18
04013000531,04,013,000531,898.97,1244.42,32.85,3.98,1105.05,1014.45,39.82,1,919.88,1192.65,1.99,997.53,1105.05,2.99,1056.26,1014.45,1.99,873.09,1196.64,1,942.77,1052.28,1
04013000532,04,013,000532,331,496,27,5,394,426,33,4,341,501,1,366,471,2,378,452,4,323,500,6,350,462,3
04013000533,04,013,000533,1955.35,1648.23,83.01,9,2205.37,1380.2,95.01,8,1990.35,1615.23,5,2019.36,1567.21,7,2106.35,1455.22,4,1918.34,1640.24,8,1961.34,1518.23,7
04013000534,04,013,000534,471.33,509.24,24.5,0.04,557.86,423.71,21.34,2.06,488.57,492.68,1.01,504.45,475.63,1.06,516.36,444.22,0.01,457.62,500.78,0.04,463.4,474.91,0.03
04013000535,04,013,000535,762.49,712.85,35.06,2.04,873.7,592.66,42.89,2.08,786.82,690.7,1.04,814.37,651.12,4.05,845.93,605.31,1.03,763.19,693.82,2.21,800,621.79,2.03
04013000536,04,013,000536,1102,851,33,1,1385,559,36,0,1151,798,2,1216,709,1,1233,675,2,1091,820,1,1164,691,2
04013000537,04,013,000537,1071.11,799.5,19.43,4.02,1219.05,646.74,9.26,4.01,1095.26,744.69,2.02,1124.5,704.36,2.04,1180.72,627.06,3.02,1039.19,764.61,4.02,1082.29,666.41,3.03
04013000538,04,013,000538,899,876,44,0,1071,711,30,2,904,867,1,963,815,0,995,753,1,870,868,1,938,755,1
04013000539,04,013,000539,394.93,1520.16,49.58,5.94,505.97,1406.17,39.64,1.98,438.47,1470.78,2.98,464.28,1445.9,3.98,543.4,1338.11,3.96,407.82,1466.78,4.95,442.47,1401.43,2.97
04013000540,04,013,000540,2471.49,971.58,28.83,0.99,2694.31,713.3,33.61,2.06,2491.94,920.44,2.95,2536.64,862.57,1.99,2607.96,761.48,0.02,2396.39,943.19,0.02,2466.5,808.78,1.98
04013000541,04,013,000541,2810.3,1337.86,60.9,5.79,3031.65,1112.44,66.39,6.42,2811.68,1345.79,1.31,2870.92,1269.77,6.42,2944.41,1160.76,1.16,2704.54,1403.44,4.62,2805.29,1209.84,1.82
04013000542,04,013,000542,241.28,1245.55,53.54,2.99,362.4,1126.45,50.61,2,266.09,1235.51,3,289.97,1221.53,3.99,303.75,1170.04,1.05,261.12,1229.6,3,279.92,1165.12,2.04
04013000543,04,013,000543,758.37,1108.6,67.35,7.03,912.99,949.99,60.31,8.03,784.6,1091.48,3.04,816.83,1048.33,6.02,891.84,960.27,0,746.49,1105.55,4.01,813.57,994.4,6.01
04013000544,04,013,000544,573.18,518.07,39.08,1,685.44,399.84,37.07,4,604.2,501.09,2,638.28,455,6.01,663.33,419.93,3,562.14,507.13,5,597.19,448.01,1
04013000545,04,013,000545,107.04,601.83,26.14,4.01,172.42,530.46,27.12,1.01,133.12,585.8,3.01,156.21,554.67,3.02,149.29,564.6,2.01,125.09,589.8,1.01,140.1,556.69,2.01
04013000546,04,013,000546,1417.77,1583.84,37.01,2,1686.9,1312.69,38.02,0,1448.78,1521.79,1,1526.82,1423.75,3,1592.87,1311.69,4,1356.75,1561.8,2,1412.78,1403.72,3
04013000547,04,013,000547,340.55,451.51,31.18,2,414.08,381.99,20.15,1,364.66,442.44,0,396.78,400.29,1.02,399.86,396.19,0,337.51,450.46,0,365.72,407.18,4
04013000548,04,013,000548,374.54,1639.19,75.95,3.81,554.9,1450.34,71.19,5.69,409.8,1636.19,6.64,446.71,1596.44,8.53,478.08,1548.89,5.69,374.68,1652.28,10.43,404.01,1576.39,3.79
04013000549,04,013,000549,509.34,1244.81,54.79,3.98,671.5,1081.63,46.79,1.01,566.03,1193.13,0.02,602.82,1156.31,4,658.58,1050.86,0.02,507.39,1201.03,1.02,574,1101.56,1.02
04013000550,04,013,000550,486.77,1691.82,80.65,1.9,681.28,1505.84,68.32,0.95,547.49,1665.25,3.8,587.35,1629.2,9.49,604.43,1597.88,4.74,528.52,1674.74,7.59,550.34,1618.76,5.69
04013000551,04,013,000551,1330,1497,104,9,1613,1196,109,6,1396,1476,4,1432,1400,14,1605,1247,3,1339,1473,2,1432,1313,7
04013000552,04,013,000552,485.74,542.93,33.43,1.12,571.46,451.24,30.06,2.88,508.15,530.93,2.8,501.22,537.26,3.89,533.59,491.66,2.88,483.85,538.3,0.99,497.19,499.96,2.03
04013000553,04,013,000553,928.28,1665.78,55.67,4.09,1160.49,1439.66,40.4,2.16,979.63,1616.12,1.02,1055.73,1533.53,2.09,1137.81,1408.66,2.11,923.53,1607.41,5.09,983.7,1476.69,1.05
04013000554,04,013,000554,596.45,1171,26.89,2.99,769.71,979.81,30.87,4.98,622.34,1133.16,1,695.03,1054.49,2.99,726.89,1000.72,1.99,590.48,1110.26,2.99,654.21,1005.7,5.97
04013000555,04,013,000555,963,944,62,5,1310,613,54,1,1029,907,4,1096,803,6,1116,781,1,996,901,3,1022,815,0
04013000556,04,013,000556,779,2036,84,4,1019,1783,82,2,840,1993,1,865,1943,7,970,1791,2,793,1949,5,837,1841,5
04013000557,04,013,000557,1649.65,1046.78,67.99,2,2065.56,644.86,56.99,4,1754.62,984.79,3,1830.61,867.81,5,1837.61,838.82,1,1680.64,973.79,3,1751.62,856.82,1
04013000558,04,013,000558,2402,1604,67,3,2704,1288,58,5,2431,1532,9,2518,1434,7,2575,1308,3,2297,1608,1,2382,1412,2
04013000559,04,013,000559,1756,988,33,4,1978,768,27,2,1785,956,2,1842,880,2,1892,808,2,1720,968,0,1778,852,2
04013000560,04,013,000560,562.67,639.4,45.22,2.01,689.3,508.78,43.19,3.01,585.82,628.3,8.03,629.94,585.19,5.02,654.07,547.96,1.01,552.66,635.39,2.02,574.79,585.14,2.02
04013000561,04,013,000561,247,70,11,3,278,49,3,1,260,70,1,252,71,2,264,61,0,257,71,0,255,68,0
04013000562,04,013,000562,664,1043,45,1,853,835,47,4,731,983,2,776,925,2,779,901,1,696,989,0,729,922,2
04013000563,04,013,000563,919,677,35,1,1053,549,30,2,919,677,2,989,602,3,1004,566,1,872,688,3,953,568,2
04013000564,04,013,000564,3.25,28.69,1.62,0,7.04,25.44,1.08,0,3.79,30.31,0,5.41,28.15,0,3.79,28.15,0,4.33,28.15,0,3.79,28.69,0
04013000565,04,013,000565,483,876,27,2,616,741,25,3,518,831,1,545,804,1,583,742,0,489,843,0,519,780,0
04013000566,04,013,000566,1625.88,1221.11,67.22,2.98,1895.41,957.57,62.24,4.91,1647.59,1223.35,1.97,1713.58,1120.57,4.89,1780.98,1036.41,2.94,1575.66,1235.14,3.92,1680.74,1082.62,1.97
04013000567,04,013,000567,262.1,472.97,16.58,1.14,318.89,414.19,19.41,0.11,267.02,473.44,2.24,278.59,461.73,0.75,304.91,434.32,1.26,260.91,477.24,0.53,273.15,446.82,0.39
04013000568,04,013,000568,120.43,104.9,3.43,0.06,137.17,84.28,5.33,0.1,110.91,109.94,0.04,126.3,94.76,0.1,122.72,97.98,0.06,114.39,103.16,1.08,120.61,95.95,0.04
04013000569,04,013,000569,447.68,477.15,21.28,4.38,519.68,408.53,22.21,1.74,454.87,471.07,2.62,481.08,443.02,0.87,503,417.6,0.87,452.05,467.52,1.83,471.39,431.51,0.91
04013000570,04,013,000570,458.1,562.15,16.28,1.02,537.73,480.35,12.3,2.02,475.25,538.8,1.02,491.9,526.16,1.02,500.87,485.95,1.04,426.08,557.6,1.03,449.42,494.89,2.01
04013000571,04,013,000571,738.95,834.36,25.31,1.95,887.91,670.8,27.26,1.95,752.58,803.21,1.95,811.97,744.79,1.95,809.05,725.32,3.89,737,784.71,2.92,768.16,719.48,0.97
04013000572,04,013,000572,805,1231,26,2,984,1041,27,3,817,1195,0,878,1120,3,930,1049,2,805,1183,2,854,1077,3
04013000573,04,013,000573,1077.28,808.21,28.48,1.96,1243.25,629.48,22.59,1.96,1089.07,775.8,1.96,1154.86,695.28,1.96,1183.34,639.3,0.98,1045.86,774.82,4.91,1094.96,691.35,1.96
04013000574,04,013,000574,591.03,679.72,37.11,4.05,710.1,555.6,33.08,3.04,607.63,657.34,1.11,624.27,634.61,2.12,650.84,591.78,2.05,574.02,668.55,5.15,586.56,627.2,3.07
04013000575,04,013,000575,161.48,641.5,18.92,1,206.15,589.43,15.22,0,178.12,628.04,1,181.03,625.06,0.07,192.62,604.26,0,167.52,631.43,2.09,170.68,616.53,1.07
04013000576,04,013,000576,1012.56,376.73,32.04,3.88,1106.74,293.23,24.27,1.94,1040.72,356.34,2.91,1056.25,330.13,0.97,1081.49,300.03,1.94,996.05,385.47,0,1009.65,339.83,3.88
04013000577,04,013,000577,1124.88,1036.8,23.17,3.01,1341.2,797.38,29.15,2.04,1139.95,993.53,4.01,1207.24,915.18,2.01,1243.74,848.44,3,1085.41,993.69,2.01,1156.95,857.65,10
04013000578,04,013,000578,850.32,765.21,46.54,0.04,1121.1,493.7,48.4,1.07,917.63,725.62,3.02,951.32,675.81,3.07,966.79,646.83,2.09,879.23,738.53,2.07,916.89,672.55,1.02
04013000579,04,013,000579,991,769,54,0,1130,646,38,1,1011,772,5,1031,744,1,1051,710,1,976,785,2,993,716,4
04013000580,04,013,000580,1447.04,1658.52,38.77,2.96,1707.85,1388.86,38.53,6.82,1424.99,1629.11,4.91,1537.55,1509.98,5.89,1600.13,1409.4,6.82,1364.93,1607.89,5.97,1438.52,1460.04,8.16
04013000581,04,013,000581,1003,1726,38,2,1220,1497,39,3,1038,1649,0,1142,1539,4,1209,1436,1,999,1629,6,1070,1503,1
04013000582,04,013,000582,346.57,1424.97,69.13,2.01,499.86,1281.69,50.12,6,376.63,1413.95,6.01,396.69,1390.92,3.01,441.72,1326.79,5,352.62,1422.93,3.01,391.67,1344.78,7
04013000583,04,013,000583,22.95,13.68,2.14,0.02,27.4,11.32,0.08,0,22.04,16.67,0,24.08,14.56,0.02,23.12,14.47,0.01,21.97,15.67,0,22,15.55,0.01
04013000584,04,013,000584,1148,1181,27,0,1385,931,32,0,1159,1130,2,1239,1042,4,1280,971,3,1114,1130,1,1173,984,2
04013000585,04,013,000585,608.96,1664.17,83.86,4.99,831.58,1446.54,71.88,6.99,656.88,1643.2,7.99,708.79,1569.33,9.98,755.71,1528.4,2.99,640.91,1643.2,6.99,645.9,1581.31,5.99
04013000586,04,013,000586,2226.97,1591.8,72.16,2.02,2490.43,1340.39,45.12,0.01,2248.11,1534.7,1.01,2319.19,1476.57,3,2407.31,1336.43,1.01,2106.9,1613.84,6,2239.96,1386.62,6.02
04013000587,04,013,000587,981.06,1052.4,30.2,1.01,1170.03,866.21,17.19,2,999.04,1030.74,0.05,1069.15,946.46,1.03,1121.67,873.42,1.02,960,1008.76,1.01,1008.77,892.96,1.05
04013000588,04,013,000588,566,539,41,4,674,427,39,2,595,528,3,617,502,4,641,470,2,573,531,4,590,493,3
04013000589,04,013,000589,574.79,986.29,33.59,0.93,690.5,855.66,41.06,0.93,576.66,982.56,0.93,638.24,914.44,1.87,698.89,842.59,0,547.73,980.69,3.73,621.45,878.05,3.73
04013000590,04,013,000590,1356,980,48,6,1719,607,52,6,1456,910,2,1514,822,8,1523,794,1,1387,942,1,1460,819,2
04013000591,04,013,000591,727,946,49,3,896,760,54,7,755,930,3,798,863,3,851,805,3,739,912,2,768,842,2
04013000592,04,013,000592,593,688,22,1,694,577,26,2,599,686,2,638,632,1,665,603,0,566,687,2,607,627,1
04013000593,04,013,000593,1069.19,1234.42,23.35,4.19,1266.58,1023.1,28.83,7.12,1082.27,1203.86,4.19,1171.83,1115.68,4.32,1236.28,1022.92,2.11,1046.1,1211.29,3.06,1135.02,1058.31,4.57
04013000594,04,013,000594,1461.99,1053.53,20.78,0.99,1679.74,819.11,20.74,2.96,1476.8,1006.35,0.01,1550.67,922.61,1.98,1593.05,832.97,0,1432.49,990.58,0.99,1478.77,861.61,2.96
04013000595,04,013,000595,1095,1084,47,2,1272,893,53,2,1112,1056,2,1163,1006,1,1232,907,1,1080,1072,5,1151,928,2
04013000596,04,013,000596,1465.96,1625.86,30.26,0.98,1781.92,1305.97,21.51,2.93,1489.35,1545.92,2.92,1576.16,1435.74,2.92,1641.55,1347.86,0.98,1403.53,1562.51,1.95,1485.52,1394.67,3.9
04013000597,04,013,000597,641.73,515.28,18.27,2.73,741.99,409.54,17.36,1.82,640.85,487.98,1.82,672.68,470.63,1.83,686.43,425.97,0.91,617.03,488.98,0.91,635.36,432.4,0.91
04013000598,04,013,000598,238,1291,57,6,383,1153,49,3,254,1295,5,285,1272,3,307,1218,5,234,1307,4,256,1238,3
04013000599,04,013,000599,479,477,34,1,598,363,21,2,501,473,0,540,430,0,578,383,0,485,473,2,528,410,0
04013000600,04,013,000600,1890.67,1509.76,46.5,3.96,2219.14,1182.29,31.66,5.94,1912.43,1458.32,0.99,1994.55,1360.37,5.94,2079.64,1229.78,0.99,1824.38,1467.22,3.96,1896.6,1293.09,2.97
04013000601,04,013,000601,496,1800,86,8,701,1600,85,4,562,1775,8,608,1714,6,634,1670,3,537,1772,9,561,1688,6
04013000602,04,013,000602,623.28,1347.69,51.53,2.92,814.83,1145.44,45.7,0.97,647.59,1319.49,0,737.05,1219.33,2.92,799.28,1140.57,1.94,635.92,1286.43,2.92,703.99,1139.6,4.86
04013000603,04,013,000603,689.93,389.7,9.94,0.99,815.19,256.49,21.87,1.99,702.85,384.73,0,732.68,348.94,1.99,759.52,316.13,0.99,681.98,393.68,0,712.79,336.02,0
04013000604,04,013,000604,693.65,612.7,41.98,5,795.6,519.74,30.98,5,731.64,579.71,4,761.62,543.73,6,787.61,507.75,2,692.66,590.71,1,721.64,521.74,2
04013000605,04,013,000605,1.2,1.32,0.02,0,1.41,1.09,0.04,0,1.22,1.25,0,1.29,1.18,0,1.36,1.08,0,1.17,1.26,0,1.23,1.14,0
04013000606,04,013,000606,0.05,0.05,0,0,0.06,0.04,0,0,0.05,0.05,0,0.05,0.05,0,0.05,0.04,0,0.05,0.05,0,0.05,0.05,0
04013000607,04,013,000607,3.87,3.76,0.07,0.01,4.54,3.05,0.07,0.01,3.94,3.59,0,4.24,3.28,0.01,4.37,3.06,0.01,3.81,3.68,0.01,3.88,3.3,0
04013000608,04,013,000608,513,1587,59,3,729,1370,46,1,551,1563,2,635,1466,5,670,1410,5,516,1554,2,580,1442,6
04013000609,04,013,000609,398,626,9,1,511,508,8,0,410,598,0,467,541,0,500,495,0,397,594,0,445,504,1
04013000610,04,013,000610,499.99,1112.55,67.81,1.98,623.03,1001.21,61.94,2.96,513.92,1130.07,1,544.27,1094.77,2.95,565.02,1051.48,3.94,496.11,1126.17,2.94,525.63,1082.86,0.99
04013000611,04,013,000611,2343.71,968.12,37.69,4.08,2523.43,778.7,37.49,0.05,2340.44,941.71,0.08,2403.6,883.26,0.03,2439.11,789.83,0.05,2241.68,1001.22,3.98,2320.72,840.66,3.09
04013000612,04,013,000612,3098.04,1528.75,74.56,6.99,3358.08,1249.32,83.94,2.11,3104.31,1485.8,1.09,3188.47,1413.42,4.11,3249.33,1281.06,1.04,2966.76,1566.45,3.03,3091.13,1346.55,4.17
04013000613,04,013,000613,141.53,889.07,49.84,2.99,238.22,808.34,42.86,0,170.44,888.08,2.99,194.36,863.16,3.99,210.31,830.27,2.99,158.48,887.08,2.99,159.48,866.15,2.99
04013000614,04,013,000614,91.92,214.24,4.21,1.1,119.22,185.68,5.61,0.16,93.67,209.72,0.33,100.76,199.6,1.09,112.49,186.83,0.25,93.76,204.68,1.24,97.06,192.79,0.2
04013000615,04,013,000615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04013000616,04,013,000616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04013000617,04,013,000617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04013000618,04,013,000618,1.73,3.37,0.03,0.03,2.17,2.92,0.06,0,1.73,3.29,0,1.84,3.09,0.03,2.09,2.87,0,1.75,3.17,0.03,1.81,2.98,0
04013000619,04,013,000619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04013000620,04,013,000620,163.72,1310.93,54.83,5.6,290.23,1192.8,49.14,1.87,221.19,1274.08,3.73,221.05,1273.27,1.82,251.52,1222.53,1.91,196.14,1275.27,3.73,195.28,1235.01,1.87
04013000621,04,013,000621,852.6,594.24,22.97,2.87,1043.99,393.29,28.71,1.91,886.1,560.75,0,900.45,529.17,1.91,907.15,504.29,1.91,853.56,548.31,0.96,884.18,488.98,0
04013000622,04,013,000622,451,667,16,1,545,562,17,3,447,657,2,489,609,2,526,563,0,426,654,7,467,581,2
04013000623,04,013,000623,164,306,19,1,208,258,20,2,180,305,3,188,292,3,203,277,3,164,313,2,178,292,4
04013000624,04,013,000624,1875,1555,78,5,2091,1332,71,3,1901,1494,5,1984,1414,6,2048,1298,8,1798,1538,5,1905,1350,10
04013000625,04,013,000625,65,25,1,0,67,24,0,0,65,25,0,66,25,0,67,23,0,64,26,0,66,23,0
04013000626,04,013,000626,572.13,448.71,32.43,1.23,752.47,277.88,25.05,2.15,625.83,426.41,2.19,642.64,393.91,4.33,650.62,374.49,2.13,588.85,432.9,3.19,619.57,387.24,2.14
04013000627,04,013,000627,301.7,592.1,14.52,1.61,383.17,507.4,12.91,3.23,331.54,559.03,1.61,360.59,528.37,4.03,375.91,500.14,2.42,310.57,559.03,2.42,333.16,522.73,2.42
04013000628,04,013,000628,768.7,688.82,47.89,2.98,910.45,536.29,39.6,3.98,786.24,668.02,1.28,832.04,605.22,5.54,882.55,554.8,1.09,773.66,656.62,0.99,802.76,590.29,1.99
04013000629,04,013,000629,613.85,412.51,11.36,0.02,746.79,278.58,18.23,0,640.94,392.54,0,663.46,357.87,1.99,651.97,355.2,0,607.11,396.05,1.02,636.28,345.49,0.99
04013000630,04,013,000630,215,756,48,2,281,702,40,3,234,771,0,246,752,1,256,734,1,236,760,2,219,753,0
04013000631,04,013,000631,314,773,45,2,423,666,39,2,325,779,2,367,737,2,393,698,0,331,756,1,333,731,3
04013000632,04,013,000632,1408,1798.43,56.92,4.06,1680.26,1509.15,60.49,4.01,1455.13,1731.51,2,1543.15,1624.02,6.02,1616.21,1511.22,0.06,1359.57,1767.83,2.01,1437.64,1588.89,1.22
04013000633,04,013,000633,868.2,652.31,10.38,0.03,1013.67,504.61,6.53,1.02,888.98,614.2,1,913.24,580.69,0.02,951.14,529.31,0.03,845.1,621.03,2.02,879.01,539.99,0
04013000634,04,013,000634,13.23,9.75,1.39,0,13.23,9.75,1.39,0,14.62,9.75,0,13.92,9.75,0,15.32,9.05,0,13.92,10.44,0,13.92,9.75,0
04013000635,04,013,000635,541.68,2231.1,122.5,11.82,749.46,2084.96,63.8,6.87,599.5,2233.5,5.98,632.21,2195.88,15.79,708.52,2095.11,7.94,553.55,2252.92,9.95,599.89,2157,8.83
04013000636,04,013,000636,626.22,467.15,20.01,1,798.27,290.1,26.01,1,647.23,450.14,1,671.23,393.13,0,692.23,376.13,1,629.22,433.14,1,657.23,382.12,1
04013000637,04,013,000637,1203.09,1140.52,86.62,3.85,1523.59,844.08,73.15,0.96,1234.85,1143.41,6.74,1323.39,1035.62,9.62,1363.82,984.6,2.89,1220.41,1122.24,5.77,1255.06,1031.77,1.92
04013000638,04,013,000638,1150,850,64,1,1438,551,71,2,1207,833,2,1257,754,4,1276,727,4,1163,847,7,1212,764,0
04013000639,04,013,000639,167.53,487.52,9.39,1.03,204.67,410.42,8.33,0.01,173.94,435.2,0,171.21,437.93,0.03,196.59,398.2,1,160.52,430.27,0.01,170,412.56,0.01
04013000640,04,013,000640,1115,1121,48,5,1253,975,42,8,1093,1140,1,1167,1057,2,1180,1004,1,1063,1146,4,1091,1038,1
04013000641,04,013,000641,981,748,48,5,1263,465,47,0,1032,723,5,1101,626,4,1103,621,3,1006,712,3,1027,651,3
04013000642,04,013,000642,1651.06,1157.94,85.85,4.99,1875.66,948.31,64.88,4.99,1675.02,1142.97,2,1734.91,1074.09,2,1773.85,987.24,6.99,1568.21,1168.92,19.96,1677.02,1031.17,4.99
04013000643,04,013,000643,569.31,571.9,33.23,0.03,666.9,469.37,33.15,1.02,594.49,545.83,0.01,604.64,534.64,0.01,668.84,467.45,1,566.34,559.89,4,588.46,508.6,2.02
04013000644,04,013,000644,989.13,1149.29,89.18,8.19,1244.83,894.5,83.72,7.28,1046.46,1129.27,2.73,1099.24,1061.02,7.28,1162.03,986.4,3.64,1009.15,1125.63,3.64,1063.75,1028.26,5.46
04013000645,04,013,000645,471.82,534.02,44.02,0,573.26,423.96,41.15,2.87,497.65,528.28,2.87,519.67,495.74,3.83,528.28,485.21,0.96,474.69,537.85,1.91,499.57,491.91,2.87
04013000646,04,013,000646,1310.03,1210.03,68,6,1544.04,994.03,47,4,1330.03,1209.03,5,1368.03,1168.03,4,1441.04,1077.03,2,1287.03,1220.03,12,1343.03,1119.03,4
04013000647,04,013,000647,1018.61,1009.12,18.87,0.02,1188.39,834.04,12.19,1.96,1015.34,980.35,1.41,1072.86,920.84,2.39,1119.67,848.85,0.99,979.76,977.86,4.34,1036.84,859.48,3.36
04013000648,04,013,000648,4.9,0.9,0.03,0,5.13,0.65,0.01,0.01,5.1,0.73,0,5.07,0.7,0,5.06,0.71,0,4.98,0.78,0,5,0.66,0
04013000649,04,013,000649,159.7,1078.48,66.9,4.5,272.08,984.83,48.43,2.17,212.88,1064.09,5.33,227.77,1049.12,3.16,239.64,1025.39,4.16,195.61,1075.16,3.33,207.5,1039.48,7.16
04013000650,04,013,000650,2233,1716,90,2,2711,1242,75,6,2294,1670,2,2461,1467,3,2500,1374,2,2214,1659,1,2363,1424,1
04013000651,04,013,000651,1324,1980,45,1,1636,1648,53,5,1376,1915,2,1527,1751,1,1621,1617,2,1292,1930,1,1433,1690,2
04013000652,04,013,000652,465,407,12,0,561,311,12,0,495,370,0,513,346,1,544,301,1,456,388,1,488,329,1
04013000653,04,013,000653,305,697,31,4,391,608,37,1,327,690,2,341,669,4,366,639,2,312,676,5,328,647,5
04013000654,04,013,000654,1848,1154,50,3,2047,938,48,8,1860,1108,3,1920,1043,6,1963,954,3,1774,1171,2,1838,1022,3
04013000655,04,013,000655,940,1015,82,5,1128,820,80,2,980,1009,6,1041,932,3,1116,864,1,922,1031,3,987,941,2
04013000656,04,013,000656,620.68,698.25,37.69,2.11,737.27,582.07,33.62,1.12,642.92,684.88,2.11,673.69,644.69,6.33,713.06,605.61,1.12,604.39,696.15,3.23,642.34,616.29,2.11
04013000657,04,013,000657,304,575,30,2,407,479,22,1,338,549,2,351,534,2,384,483,0,330,546,1,334,519,4
04013000658,04,013,000658,272.76,646,36.01,2,375.87,542.88,32.01,1,301.76,635.98,0.01,298.84,629.91,0,313.83,606.9,2,295.7,621.03,1,306.75,602.95,1
04013000659,04,013,000659,2069.07,1524.15,112.73,5.05,2374.65,1245.52,80.59,4.05,2152.87,1471.24,5.04,2180.39,1422.34,11.05,2258.81,1313.63,3.01,2094.58,1487.55,6.08,2114.55,1399.55,5.04
04013000660,04,013,000660,673,683,18,2,820,526,16,4,669,653,1,713,622,1,751,547,3,642,660,1,678,572,3
04013000661,04,013,000661,787.64,811.38,55.88,2.89,952.56,644.42,40.7,5.75,828,779.52,3.84,883.38,727.87,5.8,917.22,666.04,1.95,788.14,799.98,4.81,863.62,667.31,3.86
04013000662,04,013,000662,24.41,8.45,0,0,27.47,5.32,0.06,0,26.28,6.51,0,24.47,5.32,0,25.54,6.26,0,24.41,6.32,0,23.47,7.32,0
04013000663,04,013,000663,897.04,750.79,59.62,6.52,1087.07,579.4,40.05,2.79,930.58,754.52,0,979.95,684.66,5.59,1003.23,654.85,2.79,896.11,751.73,1.86,938.03,683.73,5.59
04013000664,04,013,000664,826.81,465.5,44.8,2.92,916.4,383.7,26.29,3.9,843.37,457.71,1.95,860.89,443.11,4.87,876.48,419.73,2.92,822.91,475.23,1.95,834.6,437.26,2.92
04013000665,04,013,000665,2536.52,2502.27,57.61,4.08,2971.87,2048.58,59.8,3.03,2589.98,2402.79,3.01,2721.45,2260.35,3.03,2863.41,2060.32,5,2493.23,2391.57,7.02,2653.49,2129.57,4.03
