GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PREDCli,G16PRERTru,G16PREGSte,G16PRELJoh,G16PREOth
26029029004,26,029,029004,38.87,102.66,4.98,5.98,0
26029029005,26,029,029005,116.28,141.51,2.21,9.12,0.55
26029029006,26,029,029006,263.16,280.57,8.1,23.2,1.22
26029029007,26,029,029007,186.37,258.42,2.88,12.49,2.88
26029029008,26,029,029008,455.94,652.45,6.53,36.98,3.26
26029029009,26,029,029009,295.86,601.58,14.79,35.5,2.96
26029029010,26,029,029010,171.55,283.71,4.38,7.86,2.01
26029029011,26,029,029011,315.44,622.4,11.12,37.28,2.03
26029029012,26,029,029012,386.15,630.32,20.8,43.41,7.23
26029029013,26,029,029013,108.81,220.61,1,12.98,1
26029029014,26,029,029014,299,630,9,36,8
26029029015,26,029,029015,250.69,426.89,4.99,26.87,2.98
26029029016,26,029,029016,142.82,268.02,2.78,9.27,2.78
26029029017,26,029,029017,93.52,115.38,2.62,8.74,0.87
26029029018,26,029,029018,73.85,70.46,2.03,8.81,1.35
26029029019,26,029,029019,256.7,671.02,13.08,29.22,3.01
26029029020,26,029,029020,330.58,639.69,11.03,49.05,9
26029ZZZZZZ,26,029,ZZZZZZ,93.25,116.18,2.77,9.2,1.26
26031031001,26,031,031001,179.13,363.94,4.74,20.85,2.84
26031031002,26,031,031002,195,398,4,19,1
26031031003,26,031,031003,601.75,1140.08,19.39,66.61,9.19
26031031004,26,031,031004,137.94,367.77,2,10,3
26031031005,26,031,031005,45,100,3,9,1
26031031006,26,031,031006,449.24,787.95,12.48,57.05,12.48
26031031007,26,031,031007,73.65,126.8,5.59,9.32,2.8
26031031008,26,031,031008,92.27,211.89,4.01,15.05,0.01
26031031009,26,031,031009,145,306,3,15,2
26031031010,26,031,031010,191.94,312.94,2.05,18.23,7.03
26031031011,26,031,031011,57,87,2,5,0
26031031012,26,031,031012,419,813,14,41,8
26031031013,26,031,031013,122.07,391.57,4.12,22.49,5.04
26031031014,26,031,031014,116.28,196.75,2.92,5.12,1.92
26031031015,26,031,031015,136.04,286.08,7,11.01,2
26031031016,26,031,031016,230.99,483.11,5.02,22.11,3.02
26031031017,26,031,031017,141,241,5,14,3
26031031018,26,031,031018,152,341,6,18,5
26031031019,26,031,031019,560.12,1146.66,24.04,52.21,10.05
26031031020,26,031,031020,30,83,0,6,0
26031031021,26,031,031021,66.55,162.12,0.01,5.06,1.01
26031031022,26,031,031022,98.96,226.92,8,13.99,2
26031ZZZZZZ,26,031,ZZZZZZ,67.76,118.42,1.84,7.53,1.73
26033033001,26,033,033001,414.06,369.42,42.13,24.64,6.3
26033033002,26,033,033002,326.14,696.97,15.21,24.72,9.51
26033033003,26,033,033003,15.93,75.68,1,6.97,1
26033033004,26,033,033004,135.56,431.41,9.89,20.78,6.93
26033033005,26,033,033005,129.64,216.56,5.25,11.99,3.75
26033033006,26,033,033006,280.55,495.73,2.52,23.47,10.09
26033033007,26,033,033007,26,68,3,2,0
26033033008,26,033,033008,344,830,18,57,13
26033033009,26,033,033009,192.69,656.29,7.31,25.51,8.19
26033033010,26,033,033010,133.01,212.56,6.8,8.92,5.8
26033033011,26,033,033011,165,467,5,22,4
26033033012,26,033,033012,832.62,874.5,41.83,93.62,16.93
26033033013,26,033,033013,658.6,836.49,19.99,77.95,13.99
