GEOID,state,county,tract,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_other,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_other,ndv,nrv,ai_an_nh,place,mcd,school,cd_1980,cd_1990
35027009807,35,027,009807,1080,876,5,184,14,1,0,830,705,4,110,10,1,0,135.6,298.98,NA,65210,92700,02310,3,2
35027009808,35,027,009808,1558,1231,5,286,32,3,1,1133,918,5,184,22,3,1,185.1,408.12,47990,65210,92700,02310,3,2
35027009809,35,027,009809,1271,776,25,461,6,2,1,890,583,18,282,4,2,1,145.4,320.59,NA,65280,92700,02310,3,2
35028000001,35,028,000001,3550,3154,9,259,18,108,2,2608,2362,8,156,11,70,1,613.56,1115.77,NA,42320,91860,01650,2,3
35028000002,35,028,000002,3517,2838,32,543,34,65,5,2423,2002,14,335,22,47,3,570.03,1036.62,NA,42320,91860,01650,2,3
35028000003,35,028,000003,1195,1073,0,97,5,17,3,948,857,0,76,3,10,2,223.03,405.58,NA,42320,91860,01650,2,3
35028000004,35,028,000004,3591,2869,23,540,28,131,0,2971,2408,18,417,21,107,0,698.95,1271.07,NA,42320,91860,01650,2,3
35028000005,35,028,000005,6262,5533,24,569,27,100,9,4448,3997,13,348,16,69,5,1046.43,1902.97,NA,84740,93810,01650,2,3
35029009861,35,029,009861,1602,979,12,604,6,1,0,1171,805,12,349,4,1,0,238.31,297.79,NA,20270,90900,00690,3,2
35029009862,35,029,009862,2309,745,99,1423,20,17,5,1567,605,61,881,9,9,2,318.89,398.5,NA,20270,90900,00690,3,2
35029009863,35,029,009863,5691,2487,42,3112,25,18,7,4001,2007,29,1928,17,15,5,814.23,1017.47,NA,20270,90900,00690,3,2
35029009864,35,029,009864,4693,2282,27,2360,8,7,9,3245,1848,17,1361,8,6,5,660.38,825.22,NA,20270,90900,00690,3,2
35029009865,35,029,009865,1596,889,13,673,17,4,0,1167,763,9,378,13,4,0,237.49,296.77,NA,17050,90930,00690,3,2
35029009866,35,029,009866,1687,1304,16,360,2,4,1,1262,1025,13,219,2,2,1,256.82,320.93,NA,NA,90930,00690,3,2
35029009867,35,029,009867,512,407,0,96,9,0,0,406,333,0,64,9,0,0,82.62,103.25,NA,20270,90930,00690,3,2
35029009868,35,029,009868,20,20,0,0,0,0,0,16,16,0,0,0,0,0,3.26,4.07,NA,NA,90930,00690,3,2
35031009721,35,031,009721,2025,58,0,28,1939,0,0,1185,47,0,12,1126,0,0,258.13,163.09,51560,NA,90840,01110,2,3
35031009722,35,031,009722,3299,153,12,30,3101,1,2,1931,124,9,17,1779,0,2,420.63,265.75,51560,18940,90840,01110,2,3
35031009723,35,031,009723,3659,43,3,23,3586,0,4,2121,30,3,13,2074,0,1,462.02,291.9,51560,78440,92550,01110,2,3
35031009724,35,031,009724,5385,197,7,26,5150,2,3,2953,146,4,15,2785,0,3,643.25,406.41,51560,51420,92550,01110,2,3
35031009725,35,031,009725,6234,322,6,314,5577,7,8,3725,239,3,162,3315,3,3,811.41,512.65,51560,28460,92535,01110,2,3
35031009726,35,031,009726,1827,147,0,12,1666,2,0,1112,110,0,8,992,2,0,242.23,153.04,51560,NA,92535,01110,2,3
35031009727,35,031,009727,4656,169,3,76,4408,0,0,2762,128,1,39,2594,0,0,601.64,380.12,51560,28460,92535,01110,2,3
35031009728,35,031,009728,4978,1278,13,260,3419,4,4,2853,898,6,134,1809,2,4,621.47,392.64,51560,NA,92535,01110,2,3
35031009729,35,031,009729,7382,253,9,118,6992,10,0,4612,212,6,61,4323,10,0,1004.63,634.72,86630,86630,93870,02800,2,3
35031009730,35,031,009730,4684,1326,31,1049,2253,19,6,2894,913,23,603,1344,9,2,630.4,398.29,51560,28460,91350,01110,2,3
35031009731,35,031,009731,5661,3169,62,1211,1079,129,11,4022,2389,44,799,695,88,7,876.11,553.53,51560,28460,91350,01110,2,3
35031009732,35,031,009732,6577,1241,81,3370,1795,35,55,4347,991,64,2215,1020,28,29,946.9,598.25,51560,28460,91350,01110,2,3
35031009733,35,031,009733,4319,1258,55,1247,1735,9,15,2613,939,38,727,898,6,5,569.19,359.61,51560,28460,91350,01110,2,3
35033009551,35,033,009551,1041,275,0,763,3,0,0,771,217,0,552,2,0,0,360.99,239.21,NA,83340,93720,02730,2,3
35033009552,35,033,009552,3223,340,2,2860,9,1,11,2249,263,2,1966,7,1,10,1053.01,697.79,NA,NA,92100,01860,2,3
35035000001,35,035,000001,1915,379,208,1298,3,11,16,1305,275,153,857,3,8,9,178.22,293.54,NA,1780,90030,00030,3,2
35035000002,35,035,000002,2107,1357,97,584,24,42,3,1621,1080,70,417,19,33,2,221.37,364.62,NA,1780,90030,00030,3,2
35035000005,35,035,000005,3885,2487,181,1125,25,66,1,2725,1843,122,690,17,52,1,372.14,612.96,NA,1780,90030,00030,3,2
35035000007,35,035,000007,4755,2711,20,1940,69,13,2,3361,2029,16,1254,50,11,1,459,756.02,NA,79980,93570,02670,3,2
35035000008,35,035,000008,2695,80,3,307,2305,0,0,1480,65,3,173,1239,0,0,202.12,332.91,47990,47920,92040,02670,3,2
35035000009,35,035,000009,5073,3619,111,1295,18,30,0,3601,2728,108,734,13,18,0,491.78,810,NA,16280,93120,00030,3,2
35035000301,35,035,000301,4438,3141,224,957,30,83,3,3109,2338,123,569,23,54,2,424.59,699.33,NA,1780,90030,00030,3,2
35035000302,35,035,000302,7852,5994,387,1293,77,92,9,5772,4556,265,832,39,75,5,788.26,1298.34,NA,1780,90030,00030,3,2
35035000401,35,035,000401,6132,4320,322,1327,35,111,17,4339,3163,210,847,27,81,11,592.56,976.01,NA,1780,90030,00030,3,2
35035000402,35,035,000402,3088,2000,204,782,19,77,6,2226,1534,149,473,13,53,4,304,500.71,NA,1780,90030,00030,3,2
35035000601,35,035,000601,5896,3988,852,683,49,313,11,3693,2561,528,380,34,186,4,504.34,830.7,NA,32940,90030,00030,3,2
35035000602,35,035,000602,1790,1483,28,236,16,26,1,1241,1045,20,141,15,19,1,169.48,279.15,NA,8440,90030,00030,3,2
35035000603,35,035,000603,2302,1709,13,553,19,8,0,1568,1191,8,349,13,7,0,214.14,352.7,NA,38330,90030,00030,3,2
35037009585,35,037,009585,1132,915,0,200,16,1,0,857,698,0,146,12,1,0,184.95,233.01,NA,42040,91830,01590,3,3
