GEOID,state,county,tract,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_other,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_other,ndv,nrv,place,mcd,school_elm,school,cd_1980,cd_1990
29077000015,29,077,000015,5227,5015,64,46,30,72,0,4026,3891,43,29,20,43,0,669.37,1482.11,70000,70009,NA,28860,2,7
29077000016,29,077,000016,1010,620,363,7,18,2,0,995,608,361,6,18,2,0,165.43,366.29,70000,70009,NA,28860,2,7
29077000017,29,077,000017,3176,3098,32,16,26,4,0,2440,2387,16,12,21,4,0,405.68,898.25,70000,70009,NA,28860,2,7
29077000019,29,077,000019,3252,3106,55,28,12,50,1,2324,2243,25,17,12,26,1,386.39,855.55,70000,70009,NA,28860,2,7
29077000020,29,077,000020,2232,2055,95,24,44,12,2,1735,1605,68,23,26,12,1,288.46,638.71,70000,70009,NA,28860,2,7
29077000021,29,077,000021,2391,2299,32,20,18,14,8,1759,1705,19,13,11,11,0,292.45,647.55,70000,70009,NA,28860,2,7
29077000022,29,077,000022,4160,3866,144,27,37,85,1,3114,2922,91,20,29,51,1,517.74,1146.37,70000,70009,NA,28860,2,7
29077000023,29,077,000023,5558,5332,83,47,40,55,1,4390,4230,60,28,30,41,1,729.88,1616.11,70000,70009,NA,28860,2,7
29077000024,29,077,000024,6524,6272,80,68,44,57,3,5199,5032,51,43,30,43,0,864.39,1913.93,70000,70009,NA,28860,2,7
29077000025,29,077,000025,6057,5851,45,46,38,69,8,4977,4838,36,37,24,42,0,827.48,1832.21,70000,70009,NA,28860,2,7
29077000026,29,077,000026,4712,4615,14,30,10,43,0,3775,3711,9,18,8,29,0,627.63,1389.71,70000,70009,NA,28860,2,7
29077000027,29,077,000027,2053,2004,13,23,2,11,0,1728,1693,10,15,2,8,0,287.3,636.14,70000,70009,NA,28860,2,7
29077000028,29,077,000028,1483,1443,8,8,14,10,0,1162,1132,8,6,11,5,0,193.19,427.77,70000,70009,NA,28860,2,7
29077000030,29,077,000030,5343,5119,87,47,36,54,0,3871,3739,56,26,22,28,0,643.6,1425.05,70000,70009,NA,28860,2,7
29077000031,29,077,000031,2969,2877,28,22,18,21,3,2178,2114,18,16,15,15,0,362.12,801.8,70000,70009,NA,28860,2,7
29077000033,29,077,000033,3895,3770,62,29,29,5,0,2723,2650,27,20,21,5,0,452.73,1002.43,70000,70009,NA,28860,2,7
29077000034,29,077,000034,928,909,5,6,3,4,1,737,726,1,3,2,4,1,122.53,271.32,70000,70009,NA,28860,2,7
29077000035,29,077,000035,1757,1724,10,5,11,3,4,1354,1334,5,5,8,2,0,225.12,498.45,70000,70009,NA,28860,2,7
29077000036,29,077,000036,2925,2792,71,25,10,23,4,2044,1965,44,11,9,13,2,339.84,752.47,70000,70009,NA,28860,2,7
29077000037,29,077,000037,4712,4626,17,21,13,34,1,3450,3394,10,14,11,21,0,187,833,70000,10908,NA,28860,2,7
29077000038,29,077,000038,2755,2704,0,18,15,17,1,2077,2045,0,13,10,8,1,345.32,764.62,70000,14374,NA,28860,2,7
29077000039,29,077,000039,1465,1417,13,19,7,9,0,1107,1075,7,12,6,7,0,184.05,407.53,70000,70009,NA,28860,2,7
29077000040,29,077,000040,8918,8698,22,61,26,109,2,6426,6287,14,37,21,67,0,1068.39,2365.63,70000,70009,NA,28860,2,7
29077000041,29,077,000041,7702,7545,32,66,28,31,0,5384,5285,19,34,22,24,0,913,2677,3592,80206,NA,28860,2,7
29077000042,29,077,000042,4269,4128,46,45,20,25,5,3072,2989,34,23,12,14,0,510.75,1130.91,70000,10910,NA,28860,2,7
29077000044,29,077,000044,5716,5533,94,41,13,34,1,4651,4524,63,31,11,21,1,277.03,736.67,70000,70009,NA,28860,2,7
29077000045,29,077,000045,1852,1795,18,20,13,4,2,1309,1275,14,10,7,3,0,77.97,207.33,70000,52942,NA,28860,2,7
29077000046,29,077,000046,4898,4832,2,28,33,3,0,3527,3485,2,15,23,2,0,631,967,71062,36216,NA,29640,2,7
29077000047,29,077,000047,4119,4070,2,26,20,1,0,3081,3050,0,13,17,1,0,221,588,62894,72466,NA,19170,2,7
29077000048,29,077,000048,9198,9038,5,62,66,25,2,6592,6487,3,42,44,16,0,534,1166,61238,21088,NA,26220,2,7
29077000049,29,077,000049,4403,4345,3,19,34,2,0,3250,3216,1,14,17,2,0,271,658,NA,12652,NA,03270,2,7
29077000050,29,077,000050,7148,7062,9,36,34,5,2,5136,5080,6,23,21,5,1,167,329,2188,76858,NA,03270,2,7
29077000051,29,077,000051,2013,1978,0,14,19,0,2,1480,1458,0,10,12,0,0,278,650,79882,62360,NA,32010,2,7
29077000052,29,077,000052,5702,5661,1,13,15,12,0,4207,4184,0,9,9,5,0,173,401,NA,25691,NA,28860,2,7
29077001301,29,077,001301,2240,2149,30,25,4,31,1,1808,1753,19,13,4,19,0,300.6,665.59,70000,70009,NA,28860,2,7
29077001302,29,077,001302,2468,2365,14,38,5,46,0,2196,2113,12,29,5,37,0,365.11,808.42,70000,70009,NA,28860,2,7
29077001801,29,077,001801,1822,1765,26,19,8,1,3,1332,1300,10,14,7,1,0,221.46,490.36,70000,70009,NA,28860,2,7
29077001802,29,077,001802,1787,1656,74,26,15,12,4,1299,1207,60,8,14,10,0,215.97,478.21,70000,70009,NA,28860,2,7
29077002997,29,077,002997,138,137,0,0,1,0,0,103,102,0,0,1,0,0,17.12,37.92,70000,70009,NA,28860,2,7
29077002998,29,077,002998,4017,3945,16,33,8,15,0,3105,3060,9,22,6,8,0,516.24,1143.06,70000,70009,NA,28860,2,7
29077003201,29,077,003201,1399,1356,9,12,20,1,1,960,931,7,8,12,1,1,159.61,353.41,70000,70009,NA,28860,2,7
29077003202,29,077,003202,2008,1964,16,6,15,6,1,1475,1435,13,6,15,6,0,245.23,543,70000,70009,NA,28860,2,7
29077004301,29,077,004301,2047,1993,20,14,8,12,0,1566,1533,12,9,5,7,0,260.36,576.5,70000,70009,NA,32010,2,7
29077004302,29,077,004302,2570,2538,4,21,5,2,0,1875,1850,4,14,5,2,0,311.74,690.25,70000,70009,NA,32010,2,7
29079009601,29,079,009601,2131,2099,1,22,7,2,0,1608,1587,0,14,6,1,0,87,151,26362,42122,17910,12690,6,6
29079009602,29,079,009602,1985,1962,0,12,8,3,0,1452,1437,0,5,7,3,0,93,137,69464,25606,28770,30360,6,6
29079009603,29,079,009603,2796,2763,4,16,13,0,0,2114,2093,3,10,8,0,0,435.8,751.81,73816,73834,NA,30360,6,6
29079009604,29,079,009604,3624,3557,6,27,15,19,0,2863,2822,5,16,11,9,0,590.2,1018.19,73816,73834,13440,30360,6,6
29081009501,29,081,009501,3615,3570,7,17,10,10,1,2757,2727,3,12,7,7,1,72,148,61904,45398,NA,00002,6,6
29081009502,29,081,009502,1797,1775,1,11,7,3,0,1360,1345,1,8,5,1,0,36,56,51860,79486,NA,00002,6,6
29081009503,29,081,009503,3057,3029,0,9,14,4,1,2417,2399,0,5,11,2,0,473,980,5068,5086,NA,00002,6,6
29083009501,29,083,009501,3044,2982,13,26,12,11,0,2279,2246,7,13,10,3,0,537,788,80350,80368,NA,32110,4,4
29083009502,29,083,009502,2898,2861,9,16,7,5,0,2186,2163,6,6,6,5,0,63,69,10450,72592,18330,06480,4,4
29083009503,29,083,009503,2628,2554,17,27,22,8,0,1965,1919,13,12,15,6,0,142,196,75346,79504,28080,10320,4,4
29083009504,29,083,009504,2649,2609,5,15,11,9,0,2047,2023,3,7,7,7,0,37,75,18730,23482,10470,10520,4,4
29083009505,29,083,009505,4097,3911,127,42,13,3,1,3009,2887,82,28,9,3,0,685.16,867.08,14986,15004,NA,09860,4,4
29083009506,29,083,009506,4728,4628,56,18,16,10,0,3640,3575,42,10,8,5,0,828.84,1048.92,14986,15004,NA,09860,4,4
29085009701,29,085,009701,2468,2422,1,16,28,1,0,1911,1882,0,10,18,1,0,88,110,79090,79108,NA,14320,4,4
29085009702,29,085,009702,1548,1530,1,7,8,2,0,1217,1203,1,3,8,2,0,161,241,78064,78082,NA,31460,4,4
29085009703,29,085,009703,2026,2008,1,2,14,1,0,1671,1657,1,2,10,1,0,206,403,31780,12538,NA,14310,4,4
29085009704,29,085,009704,1293,1282,2,4,3,2,0,1124,1116,0,3,3,2,0,260,442,NA,28954,NA,14310,4,4
29087009601,29,087,009601,1923,1912,1,2,6,0,2,1392,1383,1,2,4,0,2,173,266,17056,14410,NA,10260,6,6
29087009602,29,087,009602,2008,1983,0,14,10,1,0,1549,1535,0,8,5,1,0,53,56,50312,4672,NA,21480,6,6
29087009603,29,087,009603,2103,2087,6,0,6,4,0,1550,1538,4,0,6,2,0,157,394,54848,41798,NA,23190,6,6
