GEOID,state,county,tract,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_other,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_other,ndv,nrv,place,mcd,school_elm,DISTRICT,school,cd_1980,cd_1990
50007000002,50,007,000002,5634,5485,37,32,10,66,4,4326,4225,22,26,5,47,1,1453.32,847.12,10675,10675,NA,NA,02820,1,1
50007000003,50,007,000003,3367,3217,52,23,19,54,2,2501,2405,33,16,15,31,1,840.21,489.75,10675,10675,NA,NA,02820,1,1
50007000004,50,007,000004,3104,2922,41,44,18,74,5,2521,2387,26,32,17,58,1,846.93,493.66,10675,10675,NA,NA,02820,1,1
50007000005,50,007,000005,4027,3843,43,54,18,68,1,3784,3618,39,50,13,63,1,1271.23,740.99,10675,10675,NA,NA,02820,1,1
50007000006,50,007,000006,4092,3924,39,43,18,67,1,3702,3566,28,36,11,60,1,1243.68,724.93,10675,10675,NA,NA,02820,1,1
50007000007,50,007,000007,3942,3676,39,114,5,105,3,3874,3615,34,113,5,104,3,1301.47,758.61,10675,10675,NA,NA,02820,1,1
50007000008,50,007,000008,2183,2128,13,21,4,15,2,1857,1822,9,14,4,8,0,623.86,363.64,10675,10675,NA,NA,02820,1,1
50007000009,50,007,000009,4062,3918,35,48,14,40,7,3533,3414,29,39,11,35,5,1186.91,691.83,10675,10675,NA,NA,02820,1,1
50007000010,50,007,000010,795,753,12,12,5,13,0,743,705,9,11,5,13,0,249.61,145.49,10675,10675,NA,NA,02820,1,1
50007000011,50,007,000011,3419,3296,37,50,7,27,2,2716,2635,21,35,4,20,1,912.44,531.85,10675,10675,NA,NA,02820,1,1
50007000021,50,007,000021,8404,8313,11,31,23,22,4,5686,5626,5,19,20,14,2,1291,1536,45175,45250,NA,NA,05610,1,1
50007000022,50,007,000022,6756,6510,58,85,12,89,2,5482,5284,44,70,11,72,1,1247.08,1260.19,NA,14875,NA,NA,03240,1,1
50007000023,50,007,000023,7979,7859,16,51,14,36,3,5811,5728,13,36,13,21,0,1321.92,1335.81,85150,14875,NA,NA,03240,1,1
50007000024,50,007,000024,3311,3220,20,30,4,33,4,2480,2420,14,16,4,24,2,727.86,466.36,85150,85150,NA,NA,09360,1,1
50007000025,50,007,000025,3334,3222,29,30,13,39,1,2774,2684,21,25,11,32,1,814.14,521.64,85150,85150,NA,NA,09360,1,1
50007000026,50,007,000026,8007,7726,57,87,12,118,7,5994,5810,35,60,10,74,5,1542.76,1898.81,24400,24175,03840,NA,03810,1,1
50007000027,50,007,000027,8491,8255,48,56,5,119,8,5891,5756,26,31,5,71,2,1516.24,1866.19,24400,24175,03840,NA,03810,1,1
50007000028,50,007,000028,4302,4229,22,26,1,24,0,2962,2925,8,17,0,12,0,906,965,36625,36700,04980,05840,NA,1,1
50007000029,50,007,000029,5510,5444,14,26,10,15,1,3829,3790,11,13,7,7,1,663,600,NA,73975,08220,05840,NA,1,1
50007000030,50,007,000030,3729,3677,2,23,11,8,8,2688,2661,1,15,6,2,3,919,870,NA,59275,06840,05840,NA,1,1
50007000031,50,007,000031,4887,4777,18,51,3,35,3,3601,3533,13,29,3,23,0,1061,1095,NA,84475,09210,03030,NA,1,1
50007000032,50,007,000032,7101,6835,38,73,23,129,3,5649,5455,27,50,17,98,2,1904.78,1663.16,66175,66175,NA,NA,07470,1,1
50007000033,50,007,000033,5708,5499,27,43,17,118,4,4381,4238,23,34,14,72,0,1477.22,1289.84,66175,66175,07320,03030,07470,1,1
50007000034,50,007,000034,5871,5745,18,37,7,60,4,4320,4238,13,25,6,36,2,1580,1542,NA,64300,07320,03030,NA,1,1
50007000035,50,007,000035,9244,9134,27,47,6,27,3,6520,6453,18,26,6,16,1,747,685,NA,13300,03090,03030,07620,1,1
50009009501,50,009,009501,1900,1891,0,5,2,2,0,1359,1354,0,1,2,2,0,0,0,NA,11800,06150,06070,99999,1,1
50009009502,50,009,009502,1562,1536,6,8,10,2,0,1187,1170,5,4,8,0,0,255,325,35725,8725,02610,06070,NA,1,1
50009009503,50,009,009503,1850,1824,2,15,6,3,0,1348,1334,1,4,6,3,0,8,36,NA,41425,05280,NA,08370,1,1
50009009504,50,009,009504,1093,1080,5,2,0,4,2,805,796,5,2,0,2,0,125,251,NA,15250,NA,03270,NA,1,1
50011000101,50,011,000101,5836,5694,2,13,115,9,3,3924,3839,1,11,69,3,1,483,493,NA,33025,04650,05620,NA,1,1
50011000102,50,011,000102,3725,3656,1,10,54,4,0,2620,2581,1,5,32,1,0,502,512,24025,23875,02190,NA,03780,1,1
50011000103,50,011,000103,3001,2955,4,7,30,5,0,2174,2146,4,6,16,2,0,199,164,59050,59125,05670,NA,06810,1,1
50011000104,50,011,000104,2657,2629,4,6,9,8,1,1781,1768,3,0,5,4,1,395,259,NA,25225,03960,NA,03780,1,1
50011000105,50,011,000105,5636,5356,6,14,251,9,0,3986,3811,2,11,160,2,0,937,913,71650,71725,07980,05620,NA,1,1
