GEOID20,STATEFP,COUNTYFP,DISTRICT,G18SSCRJAC,G18SSCRANG,G18SSCDEAR,G18SACRHEA,G18SACDARR,G18SACRGRI,G18SACRRAY,G18SACDHAM,G18SACRKIT,G18SACDCOL,G18SACLMON
370910000ML,37,091,0000ML,153,65,76.02,218.01,79.02,174,49,73.02,214.01,70.02,8
370910000SJ,37,091,0000SJ,71.58,47.72,253.85,109.76,256.72,75.4,38.18,256.71,105.94,256.71,5.73
370910000UN,37,091,0000UN,119.48,69.99,311.25,177.27,324.31,110.56,65.79,315.31,167.19,314.31,16.12
370910000WN,37,091,0000WN,101.41,69.33,495.33,160.7,501.38,114.52,60.23,486.32,148.7,495.33,15.03
37093000001,37,093,000001,33.35,43.16,72.58,76.5,70.62,59.83,21.58,66.7,70.62,75.52,3.92
37093000002,37,093,000002,159.8,103.22,502.22,247.14,506.19,167.74,89.33,488.32,224.31,501.22,28.78
37093000003,37,093,000003,72,43.4,238.68,117.37,233.74,77.91,35.51,235.72,108.49,234.73,8.88
37093000004,37,093,000004,187.01,96.01,199.02,281.02,198.02,208.02,78.01,193.02,255.02,189.02,39
37093000005,37,093,000005,232.15,127.98,351.21,360.14,352.2,269.85,93.26,343.27,330.37,343.27,36.71
37093000012,37,093,000012,616.22,324.11,669.21,913.4,694.14,670.08,274.23,651.26,855.56,646.28,111.68
37093000013,37,093,000013,263,134,219,392,212,284,99,205,362,218,27
37093000014,37,093,000014,304.5,168.36,1010.24,457.93,1014,323.26,167.22,985.65,405.83,975.23,102.16
37093000015,37,093,000015,207.66,112.6,675.5,313.57,672.67,216.47,117.6,651.37,296.21,647.88,44.67
37093000061,37,093,000061,135,98,467,221,452,165,59,448,192,454,29
37093000062,37,093,000062,129,66,280,177,295,135,60,273,177,273,20
37093000063,37,093,000063,215,118,1004,327,997,241,110,980,300,976,54
37093000064,37,093,000064,228,142.6,508.32,352.63,515.26,247.09,118.49,497.28,326.51,499.27,48.12
37093000065,37,093,000065,15,8,362,12,368,9,15,357,11,358,13
3709300006B,37,093,00006B,482.81,306.68,947.39,785.25,951.44,530.1,273.68,920.99,699.42,914.81,121.65
370950000BM,37,095,0000BM,93.93,53.93,22.19,147.85,20.21,115.86,31.99,18.2,141.86,18.2,5
370950000FF,37,095,0000FF,75.45,44.33,66.02,116,66.02,94.31,27.35,64.13,110.34,67.9,3.77
370950000LL,37,095,0000LL,82.27,51.16,130.23,125.42,130.25,103.36,30.08,124.22,117.4,125.22,17.02
370950000SQ,37,095,0000SQ,112.76,67.35,95.69,175.15,102.64,147.79,35.34,91.63,166.08,92.71,10.01
37095000ENG,37,095,000ENG,84.93,56,110.12,127.86,123.19,109.19,30.8,107.32,115.72,117.59,9.33
37095000OCK,37,095,000OCK,87,53,329,133,334,99,46,324,122,309,33
3709500SLAD,37,095,00SLAD,81.96,40.49,73.08,124.43,70.11,90.85,33.58,67.15,117.52,74.06,2.96
370970000BA,37,097,0000BA,1056.74,700.72,661.15,1752.61,679.26,1174.44,576.97,630.59,1686.9,630.67,109.26
370970000BE,37,097,0000BE,1306.72,778.57,833,2060.64,853.77,1422.48,655.05,788.55,2013.39,800.43,92.68
370970000CD,37,097,0000CD,1070.9,667.09,545.08,1737.03,544.23,1136.29,576.85,513.73,1682.73,518.4,71.89
370970000CS,37,097,0000CS,620.52,382.45,442.2,996.88,446.31,673.72,334.24,420.11,978.86,416.18,45.11
370970000EM,37,097,0000EM,334.7,190.64,116.35,528.19,119.38,373.36,147.95,109.29,511.23,117.18,16.15
370970000FT,37,097,0000FT,1784.4,1075.68,1213.72,2852.12,1233.61,1832.21,1016.93,1129.25,2728.86,1138.19,211.72
370970000NH,37,097,0000NH,329.65,194.7,108.33,521.32,110.42,353.18,164.34,100.81,503.37,99.01,25.52
370970000OL,37,097,0000OL,365.85,204.52,142.13,565.99,152.08,423.97,156.61,126.94,564.02,132.81,17.26
370970000SB,37,097,0000SB,613.54,391.16,230.98,1001.56,235.93,709.89,284.59,214.36,980.86,221.7,35.14
370970000TB,37,097,0000TB,551.8,284.11,352.24,825.04,359.58,567.25,262.31,338.89,810.08,338.27,33.18
370970000UG,37,097,0000UG,377.95,278.97,162.98,662.92,159.98,472.94,176.98,144.98,647.92,146.98,22
37097000CC1,37,097,000CC1,1212.88,695.93,1241.87,1887.81,1269.87,1174.88,743.93,1187.88,1767.82,1196.88,189.98
37097000CC2,37,097,000CC2,1000.8,668.87,1344.73,1643.67,1351.73,1033.79,634.87,1287.74,1552.69,1277.75,163.97
37097000CC3,37,097,000CC3,1725.27,961.25,1617.69,2648.67,1661.52,1808.95,915.43,1538,2551.06,1540.99,233.09
37097000CC4,37,097,000CC4,1421.66,913.13,1340.96,2315.38,1361.96,1519.39,847.86,1243.19,2215.2,1249.15,214.6
37097000ST1,37,097,000ST1,873.25,449,908.41,1318.87,919.94,846.97,476.82,863.47,1265.5,871.76,96.7
37097000ST2,37,097,000ST2,549.42,283.12,734.54,818.69,751.37,540.51,299.95,698.9,792.95,705.83,66.33
37097000ST3,37,097,000ST3,413,289,868,694,867,456,257,838,661,840,66
37097000ST4,37,097,000ST4,562.58,360.88,771.46,923.31,782.63,628.49,307.05,731.1,881.05,762.17,67.67
37097000ST5,37,097,000ST5,517,290,804,796,824,542,260,777,754,777,83
37097000ST6,37,097,000ST6,409.75,281,883.59,683.13,894.06,443.03,258.18,864.53,655.5,870.24,54.3
3709700CH-A,37,097,00CH-A,589.72,283.75,535.76,879.61,526.76,617.54,265.01,509.64,840.49,531.65,46.25
3709700CH-B,37,097,00CH-B,550.29,377.54,386.07,929.31,382.72,617.78,323.56,361.27,890.02,358.94,59.85
3709700SH-A,37,097,00SH-A,789.09,480.79,355.34,1264.13,364.96,852.14,394.36,336.65,1226.06,344.28,51.03
3709700SH-B,37,097,00SH-B,770,570,334,1323,351,893,443,310,1288,316,66
370970DV1-A,37,097,0DV1-A,2068.53,1189.42,1520.85,3234.89,1568.96,1997.35,1240.63,1461.68,3062.61,1463.73,267.51
370970DV1-B,37,097,0DV1-B,2659.63,1420.66,1673.69,4040.53,1738.04,2554.35,1542.98,1572.36,3875.84,1603.24,297.39
370970DV2-A,37,097,0DV2-A,940.16,544.44,562.08,1458.55,604.09,970.41,518.39,541.08,1419.9,547.8,86.54
370970DV2-B,37,097,0DV2-B,1200.74,624.4,1093.32,1808.56,1120.66,1125.28,680.77,1056.56,1728.74,1055.93,140.16
37099000BCK,37,099,000BCK,319,156,288,464,296,341,144,277,452,273,35
37099000CAN,37,099,000CAN,105,64,94,164,99,122,44,91,158,96,11
37099000CAS,37,099,000CAS,546.85,162.63,388.02,699.96,396.58,528.78,192.11,371.86,664.78,388.98,44.7
37099000CFK,37,099,000CFK,135,66,173,190,182,133,61,175,181,169,18
37099000CUL,37,099,000CUL,592,317,1714,835,1777,579,339,1682,755,1626,229
37099000GCK,37,099,000GCK,255,117,284,344,312,244,125,284,334,284,32
37099000GLV,37,099,000GLV,504.7,203.48,294.24,679.25,322.17,515.67,189.51,287.26,660.3,306.21,37.9
37099000QUA,37,099,000QUA,526.66,247.84,769.29,744.56,790.28,528.64,254.67,741.34,704.72,724.49,94.61
37099000RIV,37,099,000RIV,153.25,107.5,226.73,253.68,233.8,197.28,67.47,218.71,239.64,215.76,28.09
37099000SAV,37,099,000SAV,246,127,235,342,267,256,121,228,335,238,32
37099000SCC,37,099,000SCC,342.62,184.72,439.98,505.55,465.68,360.45,164.57,437.01,478.14,441.98,41.05
37099000SDC,37,099,000SDC,992.09,468.47,1706.94,1361.43,1798.07,934.02,530.59,1673.86,1267.34,1708.94,164.18
37099000WEB,37,099,000WEB,385.91,167.53,686.06,505.57,732.93,361.98,208.41,659.14,475.66,686.06,64.82
3710100PR04,37,101,00PR04,312.02,102.35,171.83,408.41,178.78,321.96,98.37,163.88,396.49,174.8,10.93
3710100PR07,37,101,00PR07,828.32,248.89,317.59,1069.25,327.54,844.25,235.95,303.65,1036.4,316.59,46.79
3710100PR08,37,101,00PR08,575,211,180,791,177,630,159,170,762,177,28
3710100PR09,37,101,00PR09,1290,452,1170,1714,1188,1334,433,1123,1639,1164,119
3710100PR13,37,101,00PR13,730,296,364,1017,377,750,285,348,983,370,39
3710100PR14,37,101,00PR14,692,307,229,985,246,742,264,221,981,231,32
3710100PR19,37,101,00PR19,450.52,215.29,196.35,663.81,197.35,533.24,145.52,185.39,660.82,196.35,10.96
3710100PR20,37,101,00PR20,732.61,280.07,590.38,1013.62,596.32,770.38,250.4,577.22,985.52,571.31,59.11
3710100PR21,37,101,00PR21,801,296,237,1093,243,872,241,216,1073,225,42
3710100PR22,37,101,00PR22,888,272,346,1142,359,875,283,341,1124,358,34
3710100PR24,37,101,00PR24,289,96,610,371,613,294,92,606,351,623,28
3710100PR25,37,101,00PR25,364,169,590,535,586,408,146,577,516,575,44
3710100PR26,37,101,00PR26,268,120,688,372,693,290,97,681,362,678,30
3710100PR28,37,101,00PR28,1032,261,723,1270,743,983,326,679,1212,692,94
3710100PR30,37,101,00PR30,755,289,856,1021,861,821,262,811,1002,836,61
3710100PR32,37,101,00PR32,758,300,489,1059,485,781,284,471,1005,473,76
3710100PR33,37,101,00PR33,1043,400,468,1434,482,1112,347,454,1397,462,64
3710100PR34,37,101,00PR34,1059.36,439.79,1696.19,1473.74,1723.46,1097.16,436.27,1635.71,1403.77,1650,147.59
3710100PR35,37,101,00PR35,1165.9,482.71,543.55,1633.65,569.48,1259.65,402.93,532.58,1603.73,555.52,62.83
3710100PR36,37,101,00PR36,755.99,280.53,335.43,1018.52,350.42,759.26,260.31,332.39,1004.52,337.43,35.01
3710100PR37,37,101,00PR37,1082,363,511,1419,542,1082,348,506,1398,519,56
3710100PR38,37,101,00PR38,606.33,230.3,132.05,827.64,142.11,643.91,199.82,136.96,830.39,138.06,24.3
371010PR10A,37,101,0PR10A,438,151,926,584,924,434,172,891,554,887,76
371010PR10B,37,101,0PR10B,671,184,450,842,467,661,207,434,816,446,58
371010PR11A,37,101,0PR11A,615.21,239.25,702.56,834.52,712.05,636.1,220.26,675.02,788,694.01,75.95
371010PR11B,37,101,0PR11B,1047.52,336.87,1226.3,1356.98,1251.49,1047.94,364.48,1181.74,1287.03,1192.12,132.55
371010PR12A,37,101,0PR12A,1083.55,357.52,1106.52,1420.1,1123.5,1092.54,376.5,1065.58,1358.19,1068.57,130.83
371010PR12B,37,101,0PR12B,1079.91,435.09,1069.96,1483.76,1090,1139.79,395.99,1033.53,1411.19,1055.86,119.91
371010PR23A,37,101,0PR23A,1041,408,686,1427,705,1057,405,672,1384,676,89
371010PR23B,37,101,0PR23B,889.24,303.08,562.2,1181.32,572.2,914.26,291.08,551.19,1123.3,552.2,92.03
371010PR27A,37,101,0PR27A,344,104,445,439,453,332,120,441,435,436,30
371010PR27B,37,101,0PR27B,619,229,624,833,639,643,213,613,826,617,45
371010PR29A,37,101,0PR29A,1454,508,1113,1946,1133,1492,503,1060,1869,1068,158
371010PR29B,37,101,0PR29B,2288,802,1990,3043,2040,2318,795,1924,2904,1935,265
371010PR31A,37,101,0PR31A,748,254,523,994,532,768,245,500,968,509,57
371010PR31B,37,101,0PR31B,1419.07,482.88,1324.17,1880.35,1347.6,1464.8,447.94,1286.31,1770.09,1293.03,159.15
37103000P01,37,103,000P01,133.4,66.42,131.73,203.64,130.77,146.33,50.61,126.89,186.24,128.82,12.62
37103000P02,37,103,000P02,126.71,79.9,49.29,208.51,47.56,160.98,45.07,44.33,197.32,46.46,11.07
37103000P03,37,103,000P03,169.96,69.77,45.62,237.95,50.99,187.85,39.36,44.73,229.9,48.31,5.37
37103000P04,37,103,000P04,464.4,187.27,387.79,631.82,405.76,451.16,189.17,389.68,592.09,380.22,55.8
37103000P05,37,103,000P05,207.29,136.67,504.1,344.11,505.06,251.85,93,481.9,305.43,494.98,36.5
37103000P06,37,103,000P06,168.67,79.22,74.4,243.75,72.81,199.02,49.96,70.33,237.16,73.61,6.4
37103000P07,37,103,000P07,188.28,81.26,324.75,269.53,325.73,186.27,72.52,322.79,250.93,326.7,12.74
371050000A1,37,105,0000A1,638.1,281.29,1385.87,906.2,1412.71,628.32,316.88,1352.28,813.46,1355.83,148.42
371050000A2,37,105,0000A2,497.9,234.71,1524.13,721.8,1570.29,509.68,212.12,1546.72,681.54,1522.17,77.58
371050000B1,37,105,0000B1,515.04,262.24,428.38,796.58,415.77,539.06,220.98,413.23,719.75,420.26,66.21
371050000B2,37,105,0000B2,360.92,150.65,614.99,505.7,637.48,362.88,146.74,608.14,459.74,586.64,93.88
371050000C1,37,105,0000C1,908.94,355.82,812.77,1251.01,844.64,921.44,331.92,791.42,1197.16,785.54,101.72
371050000C2,37,105,0000C2,973.06,422.18,615.23,1365.99,649.36,1031.56,348.08,601.58,1293.84,606.46,106.28
371050000D1,37,105,0000D1,1059.86,452.35,802.78,1481.21,853.8,1087.99,413.24,789.76,1413.16,783.77,132.09
371050000D2,37,105,0000D2,964.06,474.02,923.28,1404.31,966.99,971.12,452.08,883.53,1316.87,870.63,180.83
371050000E1,37,105,0000E1,636.55,325.14,471.91,952.54,488.64,686.33,268.71,450.36,907.83,453.36,77.85
371050000E2,37,105,0000E2,668.43,299.14,988.03,965.62,1014.34,687.92,291.34,966.59,905.21,962.7,107.18
3710700000C,37,107,00000C,507.22,228.81,523.26,731.03,521.06,557.75,179.48,519.26,704.87,521.06,28.18
3710700000I,37,107,00000I,394.34,208.16,254.9,599.49,258.89,453.75,149.77,246.95,580.6,251.01,21.83
3710700000N,37,107,00000N,753.65,348.19,464.49,1105.39,453.53,818.3,285.57,445.58,1034.59,453.65,56.27
3710700000V,37,107,00000V,348,188,573,532,576,386,140,571,505,570,28
3710700000W,37,107,00000W,325.77,163.88,86.94,478.66,103.93,384.72,111.92,80.94,464.67,102.93,16.99
371070000FC,37,107,0000FC,1072.14,484.09,597.86,1551.38,618.21,1177.1,392.72,585.2,1485.23,595.89,70
371070000K1,37,107,0000K1,21.92,8.58,401.16,25.73,404.97,16.2,6.67,403.06,20.96,401.16,5.72
371070000K2,37,107,0000K2,12,7,338,21,335,11,7,340,16,333,7
371070000K3,37,107,0000K3,95.21,43.11,427.85,134.39,426.64,87.34,49.01,425.51,121.13,426.66,17.99
371070000K4,37,107,0000K4,559.16,241.34,725.02,741.91,776.67,548.24,236.38,728,711.12,740.91,55.62
371070000K5,37,107,0000K5,139,61,615,189,616,140,62,610,175,602,28
371070000K6,37,107,0000K6,84,44,796,126,803,91,44,798,124,783,22
371070000K7,37,107,0000K7,97.86,59.24,692.43,162,679.56,116.22,48.86,672.61,150.44,669.76,15.27
371070000K8,37,107,0000K8,10.28,4.6,467.43,9.87,467.45,8.38,7.49,466.42,11.76,469.42,1.08
371070000K9,37,107,0000K9,294.84,131.66,753.98,407.09,774.33,295.76,132.62,747,382.88,748.09,44.38
371070000MH,37,107,0000MH,636.58,378.33,893.07,1006.06,895.04,757.73,257.19,871.4,945.96,889.12,49.28
371070000SH,37,107,0000SH,112.48,56.51,43.77,169.03,42.09,134.39,36.25,40.93,158.81,42.07,7.39
371070000SW,37,107,0000SW,277.49,130.02,106.72,403.63,111.44,298.62,107.03,104.35,381.58,104.28,18.16
371070000T1,37,107,0000T1,389,193,106,579,113,436,155,99,565,106,18
371070000T2,37,107,0000T2,303.08,144.09,70.84,450.08,70.86,330.11,119.06,63.66,425.6,64.81,27.39
37107000PH1,37,107,000PH1,167,98,54,269,55,227,47,48,263,54,8
37107000PH2,37,107,000PH2,346.12,162.72,99.66,516.83,96.02,364.75,147.22,93.6,486.41,91.87,26.47
3710900AS25,37,109,00AS25,702,284,313,980,313,722,259,279,941,298,50
3710900BC13,37,109,00BC13,227,133,311,356,313,247,115,299,330,306,33
3710900BS26,37,109,00BS26,494.71,242.37,344.1,730.09,350.09,508.67,229.4,325.15,699.17,323.16,51.86
3710900CF19,37,109,00CF19,582.21,230.16,273.46,801.92,284.74,536.63,275.51,251.38,749.5,258.92,75.22
3710900DN29,37,109,00DN29,731.86,323.15,370.5,1051.69,376.31,737.67,324.81,337.27,994.37,343.09,86.39
3710900DV08,37,109,00DV08,618.8,338.96,302.01,951.29,314.94,699.16,244.75,289.08,919.89,282.62,58.19
3710900DW28,37,109,00DW28,785.7,380.54,415.5,1158.85,431.74,785.2,372.84,391.58,1086.78,399.04,96.75
3710900HC33,37,109,00HC33,758,403,415,1144,428,857,318,384,1089,407,76
3710900IS20,37,109,00IS20,473,249,169,706,174,487,226,155,685,162,37
3710900IS23,37,109,00IS23,628,313,415,933,424,632,305,405,878,394,90
3710900LB34,37,109,00LB34,631,350.79,321.14,979.56,328.3,677.23,317.37,282.38,934.6,299.17,57.26
3710900LI14,37,109,00LI14,409,153,260,549,268,375,176,241,523,245,46
3710900LN11,37,109,00LN11,267,113,429,378,427,264,119,407,351,411,42
3710900LS12,37,109,00LS12,296.66,104.48,430.36,404.13,425.39,302.85,113.34,404.2,377.94,406.27,45.24
3710900LW18,37,109,00LW18,246,132,174,371,179,247,121,172,353,169,29
3710900LW31,37,109,00LW31,1121,446,721,1561,731,1078,485,685,1456,693,136
3710900NB35,37,109,00NB35,926.23,514.5,390.28,1452.45,401.04,1024.05,419.61,360.94,1397.69,369.74,81.18
3710900OB21,37,109,00OB21,665,305,233,959,250,714,253,215,932,230,39
3710900PC22,37,109,00PC22,583.7,312.28,276.29,898.9,282.12,637.21,269.48,245.16,860.96,252.94,58.37
3710900SL24,37,109,00SL24,476,211,238,683,238,482,204,218,666,220,37
3710900ST36,37,109,00ST36,602.38,308.66,427.33,895.27,440.59,617.58,287.2,403.55,865.99,417.42,47.11
3710900TA37,37,109,00TA37,986.09,454.31,548.04,1422.23,559.52,962.18,468.66,504.04,1323.71,526.04,131.03
3710900WP32,37,109,00WP32,1534,634,919,2128,950,1426,725,852,1982,884,204
3711100NEBO,37,111,00NEBO,561.41,366.16,339.98,907.67,355.11,638.28,247.76,319.89,877.01,352.24,30.62
371110MAR-1,37,111,0MAR-1,599.29,412.44,460.22,981.71,494.22,675.04,287.74,451.07,939.47,456.19,63.22
371110MAR-2,37,111,0MAR-2,167,120,362,278,366,178,100,349,257,362,23
371110MAR-3,37,111,0MAR-3,161,136,128,287,140,209,81,129,280,128,19
371110MAR-4,37,111,0MAR-4,181.49,126.65,147.59,296.17,158.56,202.43,88.75,145.59,280.22,139.61,23.93
371110MAR-5,37,111,0MAR-5,163,160,161,321,162,232,86,154,304,154,23
37111CCREEK,37,111,CCREEK,386.58,314.22,339,677.01,356.84,455.97,195.27,337.02,651.24,335.04,48.57
37111DYSART,37,111,DYSART,523.39,268.64,257.38,774.9,275.45,561.05,205.64,247.21,747.7,260.51,39.12
37111FORT-1,37,111,FORT-1,313.27,212.05,215.8,521.87,217.39,329.31,166.93,211.4,497.97,215.42,25.42
37111FORT-2,37,111,FORT-2,306.86,286.53,301.95,586.05,314.23,412.88,164.18,287.14,572.72,290.17,32.49
37111GLENWD,37,111,GLENWD,463.86,253.38,195.52,698.28,218.46,492.79,210.48,186.54,687.31,196.52,30.92
37111HIGGIN,37,111,HIGGIN,374.26,262.47,172.4,622.37,190.65,440.4,168.88,171.71,604.02,170.3,34.7
37111M.COVE,37,111,M.COVE,380.17,269.08,179.07,649.25,183.08,457.19,178.07,169.07,628.25,157.07,43.01
37111N.COVE,37,111,N.COVE,214.01,135.97,113.53,337.92,127.7,243.64,90.25,112.44,325.59,117.46,18.53
37111PLEASA,37,111,PLEASA,454.38,305.66,284.11,747.3,298.84,522.08,199.78,275.29,716.96,274.33,39.19
37111T.COVE,37,111,T.COVE,197.98,112.99,72.99,306.97,81.99,211.98,80.99,68.99,297.97,74.99,11
37111WEST-M,37,111,WEST-M,605.85,493.09,412.82,1069.31,444.35,768.3,299.1,396.57,1050.2,420.46,46.82
37113000001,37,113,000001,548.61,353.38,514.52,828.93,585.57,576.66,304.32,507.5,806.88,512.54,84.08
37113000002,37,113,000002,245.77,146.47,265.62,353.18,300.68,242.84,134.4,266.59,338.11,276.64,35.1
37113000003,37,113,000003,485.71,295.71,411.42,733.52,451.59,520.72,252.64,392.45,692.5,421.91,61.12
37113000004,37,113,000004,378.11,240.16,262.54,578,298.26,406.55,211.14,248.23,572.03,266.29,39.23
37113000005,37,113,000005,694.27,327.58,426.16,976.17,474.81,658.83,333.3,427.06,928.41,440,73.62
37113000006,37,113,000006,567.66,335.76,371.74,858.07,409.28,612.26,269.97,363.06,820.68,373.16,73.04
37113000007,37,113,000007,545.92,319.69,352.24,832.82,390.17,586.39,273.78,335.27,793.86,363.68,52.15
37113000008,37,113,000008,110,82,75,188,75,132,58,70,178,72,10
37113000009,37,113,000009,646.2,302.39,603,920.1,637.45,627.27,307.91,588.17,892.29,592.05,67.3
37113000010,37,113,000010,100,75,92,166,102,119,49,94,162,93,11
37113000011,37,113,000011,674.95,389.24,496.75,1037.31,522.64,720.74,341.46,477.84,988.53,491.78,73.67
37113000012,37,113,000012,542.02,288.77,387.91,782.72,437.01,569.51,242.2,386.85,739.62,416.91,64.16
37113000013,37,113,000013,128.05,121.91,74.27,240.88,85.37,172.95,73.89,71.24,236.79,71.19,15.13
37113000014,37,113,000014,221.91,132.46,122.01,340.17,136.18,231.06,116.29,114.95,322.97,126.01,24.38
37113000015,37,113,000015,539.14,271.56,373.03,773.9,404.87,566.99,238.74,362.09,736.1,372.04,69.63
371150BEECH,37,115,0BEECH,492.7,364.61,548.69,834.25,570.74,590.5,281.69,535.73,815.15,529.74,54.09
371150NORTH,37,115,0NORTH,421.52,253.06,560.87,630.94,593.89,473.3,191.64,561.76,599.84,556.96,54.43
371150SANDY,37,115,0SANDY,96,66,126,159,129,110,52,126,154,123,9
371150SOUTH,37,115,0SOUTH,137.11,131.62,300.55,250.42,317.76,177.37,89.28,293.59,238.2,296.53,25.36
37115EBBS-C,37,115,EBBS-C,235.98,134.99,218.98,355.97,232.98,248.98,119.99,219.98,340.97,221.98,23
37115GRAPEV,37,115,GRAPEV,175.29,172.3,218.12,333.65,233.06,235.05,115.53,217.12,317.72,218.12,24.9
37115HOT-SP,37,115,HOT-SP,114.11,103.09,196.17,198.19,215.18,143.13,57.07,205.17,182.18,194.17,25.02
37115LAUREL,37,115,LAUREL,127,114,172,233,186,148,104,165,226,169,15
37115MARS-H,37,115,MARS-H,685.72,457.48,1068.45,1087.39,1117.29,779.41,350.84,1059.48,1026.59,1054.5,112.63
37115REVERE,37,115,REVERE,35.76,38.45,101.83,67.91,106.09,48.27,27.17,102.37,62.22,105.47,8.08
37115SPRING,37,115,SPRING,113,99,214,202,224,136,78,208,190,217,17
37115WALNUT,37,115,WALNUT,204.34,163.49,325.8,358.57,333.96,249.4,125.06,312.31,337.9,315.14,32.56
3711700000J,37,117,00000J,433.26,183.72,393.96,629.75,396.91,507.93,123.79,385.12,606.17,401.82,20.63
3711700000W,37,117,00000W,213,131,160,324,182,264,74,166,306,179,18
371170000BG,37,117,0000BG,412,233,208,631,231,537,122,194,616,222,19
371170000CR,37,117,0000CR,175,113,220,287,230,225,61,223,261,234,17
371170000GN,37,117,0000GN,106.64,75.75,241.19,190.36,238.2,149.5,37.87,237.2,173.42,239.2,17.94
371170000GR,37,117,0000GR,287.15,156.63,145.44,435.39,154.76,364.53,73.65,149.17,411.15,160.36,13.98
371170000HM,37,117,0000HM,81.35,60.29,271.99,142.64,275.07,112.26,32.48,272.4,134.42,274.1,9.79
371170000HS,37,117,0000HS,28,14,104,38,108,30,12,102,39,104,3
371170000PP,37,117,0000PP,52,39,83,87,91,82,14,80,86,85,5
371170000R1,37,117,0000R1,115,45,334,161,340,130,37,335,151,338,16
371170000R2,37,117,0000R2,149,101,400,239,416,182,64,403,238,405,10
371170000W1,37,117,0000W1,406,236,808,643,826,503,156,799,608,807,45
371170000W2,37,117,0000W2,347.7,203.39,922.99,525.9,961.73,402.9,131.72,935.58,496.85,959.79,21.31
37119000001,37,119,000001,365,161,587,481,632,342,166,582,491,569,41
37119000002,37,119,000002,316,181,1399,441,1439,285,203,1385,391,1308,171
37119000003,37,119,000003,55,38,886,89,891,58,39,866,83,845,40
37119000004,37,119,000004,164,90,853,232,866,147,106,836,224,794,84
37119000005,37,119,000005,84,60,610,142,604,97,64,586,137,570,46
37119000006,37,119,000006,84,49,874,117,884,80,69,857,102,831,69
37119000007,37,119,000007,189,112,753,283,754,180,108,741,250,691,98
37119000008,37,119,000008,643,253,809,834,855,558,325,783,849,721,103
37119000009,37,119,000009,507,255,1534,680,1597,452,315,1487,675,1406,176
37119000010,37,119,000010,402,215,1159,568,1211,380,259,1127,504,1123,146
37119000011,37,119,000011,752,487,3013,1128,3095,749,495,2953,997,2778,449
37119000012,37,119,000012,82,48,1098,111,1118,65,61,1096,82,1073,72
37119000013,37,119,000013,237,154,1308,328,1362,216,169,1299,284,1237,161
37119000014,37,119,000014,91.02,59.01,1140.14,134.03,1149.14,105.02,72.01,1107.13,109.02,1062.13,105.02
37119000015,37,119,000015,341,150,1789,423,1839,268,234,1754,400,1657,197
37119000016,37,119,000016,29,32,1634,48,1633,33,29,1626,34,1604,47
37119000017,37,119,000017,53,31,753,73,755,49,42,734,57,723,46
37119000018,37,119,000018,513,189,490,656,530,474,218,478,705,420,45
37119000019,37,119,000019,417,187,615,567,632,382,225,579,577,566,59
37119000020,37,119,000020,435,200,994,583,1045,392,242,978,570,911,129
37119000021,37,119,000021,248,153,914,372,933,246,155,889,348,831,115
37119000022,37,119,000022,647.89,375.94,2370.59,947.84,2430.58,623.89,440.92,2288.61,778.87,2242.61,350.94
37119000023,37,119,000023,90,56,793,137,791,86,62,783,112,765,53
37119000024,37,119,000024,101,75,1041,155,1047,111,74,1025,138,991,80
37119000025,37,119,000025,18,16,1036,38,1036,18,12,1035,12,1015,36
37119000026,37,119,000026,118.09,81.37,1621.29,188.42,1617.04,127.69,77.97,1597.37,177.01,1554,73.5
37119000027,37,119,000027,43,46,994,75,999,47,36,997,62,966,53
37119000028,37,119,000028,84,68,882,130,890,81,73,861,121,835,71
37119000029,37,119,000029,160,85,805,232,812,162,100,778,210,753,82
37119000030,37,119,000030,225.98,125.99,1616.86,304.97,1656.86,194.98,166.99,1592.87,231.98,1507.87,216.98
37119000031,37,119,000031,43.11,22.06,1020.41,59.16,1016.42,39.11,38.08,987.39,52.13,990.39,25.06
37119000032,37,119,000032,669,237,569,821,636,601,264,568,844,539,65
37119000033,37,119,000033,130,98,786,217,782,134,113,756,190,712,100
37119000034,37,119,000034,202,136,926,305,951,205,147,906,289,828,139
37119000035,37,119,000035,294,152,695,429,710,295,169,662,427,628,81
37119000036,37,119,000036,491,264,913,713,942,469,286,891,689,843,118
37119000037,37,119,000037,378,191,751,557,749,341,235,717,494,669,140
37119000038,37,119,000038,224,148,794,354,798,216,165,764,320,718,113
37119000039,37,119,000039,43.28,20.66,922.74,60.01,904.05,32.46,34.43,899.13,48.2,895.19,30.5
37119000040,37,119,000040,61,62,939,118,944,76,51,926,93,901,60
37119000041,37,119,000041,54,44,966,90,959,60,44,955,75,938,42
37119000042,37,119,000042,24,28,1231,50,1214,27,30,1211,39,1214,21
37119000043,37,119,000043,72,66,1173,123,1178,81,61,1163,111,1136,62
37119000044,37,119,000044,167,98,779,252,793,180,98,764,240,719,85
37119000045,37,119,000045,138,116,689,239,692,144,111,670,220,632,85
37119000046,37,119,000046,187,129,1172,290,1190,204,126,1151,263,1097,121
37119000047,37,119,000047,585,258,975,785,1019,535,318,923,762,893,133
37119000048,37,119,000048,593,212,610,745,649,506,285,578,772,540,71
37119000049,37,119,000049,381,215,906,553,944,330,276,876,515,813,159
37119000050,37,119,000050,251,139,711,359,730,228,166,691,327,657,108
37119000051,37,119,000051,385,216,1102,554,1123,351,266,1057,521,1014,149
