GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PREDBID,G20PRERTRU,G20PRELJOR,G20PREGHAW,G20PREIWES,G20PREOOTH,G20PREOSAN,G20PREOWRI,G20HALDWEL,G20HALDRBE,G20HALCHEL,G20HALIBEC,G20HALIHOR,G20HALIORR,G20HALITRU,G20HALOWRI,G20GOVDZUC,G20GOVRSCO,G20GOVIHOY,G20GOVTPEY,G20GOVIWHI,G20GOVIBIL,G20GOVIDEV,G20GOVUDIC,G20GOVOWRI,G20LTGDGRA,G20LTGRMIL,G20LTGPERI,G20LTGIBIL,G20LTGBCOR,G20LTGOWRI,G20ATGDDON,G20ATGRPAI,G20ATGPERI,G20ATGOWRI,G20SOSDCON,G20SOSRPAI,G20SOSPERI,G20SOSISMI,G20SOSOWRI,G20TREDPEA,G20TRERBRA,G20TREPERI,G20TREIWRI,G20TREOWRI,G20AUDOHOF,G20AUDPERI,G20AUDOWRI
50027502715,50,027,502715,314.59,121.75,6.04,2.03,0.01,2.05,3,0.03,319.42,101.57,3.03,14.09,1.05,5.15,0.04,0,123.98,311.23,3.05,3.11,0.04,0.01,0.01,1.01,1.01,228.76,192.32,10.21,2.07,2.04,0,290.3,106.6,25.37,0,262.1,113.62,21.33,21.29,1,257.96,116.75,34.39,10.2,0,294.77,89.11,1.02
50027502716,50,027,502716,527.02,183.62,5,1.01,0.01,3.01,10,4,523.98,146.51,3.03,21.08,4.01,6,6,1,239.46,458.13,6.02,8.01,3,4,0.01,2,3.02,417.75,265.8,17.02,7.04,3,3,479.02,155.49,45.04,1.01,454.96,164.51,21.03,42.07,1,432.86,173.57,38.06,36.03,0.01,524.11,101.31,1.01
50027502717,50,027,502717,948.78,500.92,17.32,7.22,4.06,24.19,3.13,9.06,978.87,397.97,21.42,27.61,21.45,10.16,6.06,3.03,379.73,1034.91,27.39,16.22,5.19,4.03,5.1,8.03,10.06,707.12,695.39,38.64,15.19,2.1,8.06,918.75,409.54,70.28,4.03,789.92,460.87,46.06,113.89,2.06,776.47,478.92,61.12,78.16,3.06,1040.58,224.65,12.19
50027502718,50,027,502718,566.45,269.17,9.68,6.78,1.94,5.81,3.87,1.94,599.36,210.11,12.58,18.4,13.55,4.84,1.94,0.97,263.35,570.33,11.62,6.78,5.81,0.97,2.91,0.97,1.94,456.05,373.75,19.36,5.81,2.9,1.94,565.46,227.55,38.73,0.97,510.28,237.22,31.95,57.12,1.94,496.71,269.18,33.89,34.86,1.94,620.65,140.39,5.81
50027502719,50,027,502719,2603.79,1779.82,45.34,19.1,20.11,61.3,8.17,12.19,2580.22,1492.74,30.06,133.09,68.4,63.34,21.04,5.08,1090.16,3054.97,91.61,82.95,33.29,19.02,25.19,21.04,20.04,1877.85,2188.67,204.74,91.49,17.21,10.11,2427.18,1532.41,295.45,3.04,2073.15,1589.62,339.46,288.06,2.02,2021.76,1639.51,431.1,194.62,9.02,2791.99,1127.17,19.23
50027502720,50,027,502720,347.33,125.41,4.07,2.08,1,2.11,1.05,3.05,319.36,101.1,6.12,22.12,9.08,11.05,4.05,2,122.7,346.08,1.01,4.11,3.08,0.01,1,1.01,1.03,273.1,184.47,6.16,6.03,3.03,2.07,326.96,106.06,28.45,0,291.61,111.31,18.22,40.46,0,275.32,130.4,23.33,24.53,0,354.36,73.37,0.03
50027502721,50,027,502721,1042.94,735.52,16.89,9.06,4.16,13.43,1.08,6.1,1032.9,624.11,9.3,55.92,15.65,20.27,6.18,3.04,371.35,1358.06,40.53,23.63,5.18,5.22,5.16,6.18,7.26,738.82,943.11,67.3,28.73,2.1,2.08,952.55,633.06,125.12,1.04,844.57,666.86,114.53,102.1,1,778.79,725.62,134,80.35,1.02,1130.92,413.11,11.22
50027502722,50,027,502722,618.37,200.14,10.01,3,1,8,0,1,602.37,187.12,5,14.02,9,9.01,3,0,222.14,588.36,6,2,6,3,1,7,1,441.27,355.22,19.01,6,2,2,553.34,194.12,46.03,0,490.31,218.13,32.02,53.02,1,460.3,235.14,54.04,28.01,3,613.34,107.1,6
50027502723,50,027,502723,325.21,111.67,0.98,0.98,1.96,2.94,0,2.94,305.62,86.2,2.94,7.84,3.92,22.53,1.96,0,123.42,309.53,4.9,0,4.9,0,1.96,0,0,243.9,174.36,13.71,0,0.98,0,291.9,102.85,20.57,0,260.56,106.77,26.45,21.55,0,248.8,110.69,34.28,12.73,0,289.94,88.16,1.96
50027502724,50,027,502724,1240.87,526.34,44.11,2.94,7.84,21.56,3.92,4.9,1238.91,455.77,14.7,46.07,32.34,13.72,8.82,1.96,514.58,1200.68,26.46,31.36,8.82,10.78,7.84,8.82,12.74,936.04,754.71,64.69,36.27,4.9,3.92,1122.27,502.82,105.86,1.96,1023.28,493.01,76.45,153.88,0,984.07,531.24,99.98,116.64,0.98,1240.87,354.81,10.78
50027502725,50,027,502725,1644.86,401.97,18,6,4,18,5,11,1589.87,371.97,15,40,29,5,6,2,581.95,1445.88,10,17,7,4,0,11,10,1219.9,773.94,37,18,5,3,1457.88,393.97,77.99,1,1364.88,421.97,64,111.99,3,1292.89,484.96,80,79.99,0,1470.88,278.98,5
