GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PREDCLI,G16PRERTRU,G16PRELJOH,G16PREGSTE,G16PREOTH,G16USSDWIE,G16USSRMOR,G16USSLGAR,G16USSOTH
20099000280,20,099,000280,45,81,4,1,0,45,75,10,0
2009900029A,20,099,00029A,139,177,20,6,1,149,188,16,0
2009900029B,20,099,00029B,0,0,0,0,0,0,0,0,0
20099000300,20,099,000300,120,150,9,6,0,106,158,20,0
20099000310,20,099,000310,153.8,240.2,9.9,5,3,157.7,232.2,17.9,0
20099000320,20,099,000320,61,103,6,1,0,61,102,8,0
20099000330,20,099,000330,78,130,16,8,2,92,116,19,0
20099000340,20,099,000340,86.8,106.5,5.9,3.9,0,75,104.5,17.8,0
20099000350,20,099,000350,96,173,10,6,0,91,185,14,0
20099000360,20,099,000360,23,54,2,2,0,22,53,5,0
20099000370,20,099,000370,112,268,7,3,0,107,253,20,0
20099120040,20,099,120040,0,0,0,0,0,0,0,0,0
2009912004A,20,099,12004A,4.9,19.3,0.9,0.9,0,6.8,18.3,1.8,0
2009912004B,20,099,12004B,3.9,15.8,0,1,0,2,15.8,1,0
20101000010,20,101,000010,3,41,2,0,0,7,39,2,0
20101000020,20,101,000020,8,45.8,2,0,0,1,52.8,2,0
20101000030,20,101,000030,4.6,21.3,2.8,0,0,0.9,25,3.7,0
