GEOID,area_land,area_water,G20PREDBID,G20PRERTRU,G20PRELJOR,G20PREGHAW,G20PREADEL,G20USSDGID,G20USSRCOL,G20USSISAV,G20USSILIN
230010107001009,0,47348,13,13,0,0,0,11,14,1,1
230010107001010,1260829,7341,0,0,0,0,0,0,0,0,0
230010107001011,278215,0,11,10,0,0,0,8,11,1,0
230010107001012,313662,0,24,23,1,0,0,19,26,2,1
230010107001013,12055,0,0,0,0,0,0,0,0,0,0
230010107001014,18824,0,27,25,1,0,0,21,29,2,1
230010107001015,139632,0,8,7,0,0,0,6,8,1,0
230010107001016,93617,0,0,0,0,0,0,0,0,0,0
230010107001017,509977,0,22,20,1,0,0,17,23,2,1
230010107001018,61011,0,0,0,0,0,0,0,0,0,0
230010107001019,11362,23134,6,5,0,0,0,5,6,1,0
230010107001020,0,46652,31,28,1,1,0,24,32,4,2
230010107001021,0,4466,0,0,0,0,0,0,0,0,0
230010107001022,172666,0,0,0,0,0,0,0,0,0,0
230010107001023,72640,0,16,15,1,0,0,13,17,1,1
230010107001024,62795,0,1,1,0,0,0,1,2,0,0
230010107001025,11633,0,0,0,0,0,0,0,0,0,0
230010107001026,2192621,2158,7,7,0,0,0,6,8,1,0
230010107001027,45457,0,5,5,0,0,0,4,6,1,0
230010107001028,21360,0,5,5,0,0,0,4,6,0,0
230010107001029,22156,0,0,0,0,0,0,0,0,0,0
230010107001030,42625,297,4,4,0,0,0,3,4,0,0
230010107001031,389200,0,9,8,0,0,0,7,10,1,0
230010107001032,11499,0,0,0,0,0,0,0,0,0,0
230010107001033,13125,0,1,1,0,0,0,0,1,0,0
230010107001034,12267,0,0,0,0,0,0,0,0,0,0
230010107001035,172662,0,3,3,0,0,0,2,3,0,0
230010107001036,105154,834,0,0,0,0,0,0,0,0,0
230010107001037,35661,0,1,1,0,0,0,1,1,0,0
230010107001038,40277,0,1,1,0,0,0,1,1,0,0
230010107001039,17823,0,79,74,3,1,1,63,85,7,3
230010107001040,94062,0,5,5,0,0,0,4,6,0,0
230010107001041,123416,11558,3,2,0,0,0,2,3,0,0
230010107001042,6736,0,0,0,0,0,0,0,0,0,0
230010107001043,426322,0,0,0,0,0,0,0,0,0,0
230010107001044,16649,0,6,5,0,0,0,5,6,1,0
230010107001045,31973,0,0,0,0,0,0,0,0,0,0
230010107001046,26876,0,21,19,1,0,0,16,22,2,1
230010107001047,18953,0,9,8,0,0,0,7,9,1,0
230010107001048,43864,0,39,36,1,1,0,31,42,4,2
230010107001049,134131,0,0,0,0,0,0,0,0,0,0
230010107001050,25295,0,4,4,0,0,0,3,4,0,0
230010107001051,29855,0,0,0,0,0,0,0,0,0,0
230010107001052,177685,0,3,2,0,0,0,2,3,0,0
230010107001053,41689,0,21,19,1,0,0,16,22,2,1
230010107002000,0,38374,0,0,0,0,0,0,0,0,0
230010107002001,329718,32867,3,3,0,0,0,2,3,0,0
230010107002002,55456,0,3,2,0,0,0,2,3,0,0
230010107002003,0,7346,27,25,1,1,0,22,28,3,1
230010107002004,0,5048,0,0,0,0,0,0,0,0,0
230010107002005,0,45302,71,66,2,1,1,56,76,7,3
230010107002006,29020,0,0,0,0,0,0,0,0,0,0
230010107002007,1459943,0,10,9,0,0,0,8,11,1,0
230010107002008,56357,0,4,4,0,0,0,3,4,0,0
230010107002009,623365,20310,9,9,0,0,0,7,10,1,0
230010107002010,0,51805,3,3,0,0,0,2,3,0,0
230010107002011,1152370,0,20,18,1,0,0,15,21,2,1
230010107002012,116819,0,22,21,1,0,0,18,24,2,1
230010107002013,76308,0,12,11,0,0,0,9,12,1,0
230010107002014,287615,0,0,0,0,0,0,0,0,0,0
230010107002015,1416736,0,10,9,0,0,0,8,11,1,0
230010107002016,17957,0,1,1,0,0,0,0,1,0,0
230010107002017,21093,0,3,2,0,0,0,2,3,0,0
230010107002018,64373,0,20,19,1,0,0,16,22,2,1
230010107002019,1658664,0,4,4,0,0,0,3,4,0,0
230010107002020,774653,0,8,8,0,0,0,6,9,1,0
230010107002021,31060,0,5,5,0,0,0,4,5,0,0
230010107002022,11586,0,19,18,1,0,0,15,20,2,1
230010107002023,225860,0,19,18,1,0,0,15,21,2,1
230010107002024,13742,0,3,3,0,0,0,3,3,0,0
